,x,y
0,1e-05,0.51
1,46500.0,0.509
2,150000.0,0.508
3,215000.0,0.507
4,300000.0,0.506
5,465000.0,0.504
6,700000.0,0.501
7,1000000.0,0.498
8,1500000.0,0.491
9,2150000.0,0.483
10,3000000.0,0.473
11,4650000.0,0.452
12,7000000.0,0.423
13,10000000.0,0.386
14,12000000.0,0.361
15,13000000.0,0.349
16,14000000.0,0.336
17,15000000.0,0.33
18,22000000.0,0.329
19,23000000.0,0.331
20,24000000.0,0.33
21,25000000.0,0.332
22,27000000.0,0.334
23,28000000.0,0.333
24,29000000.0,0.332
25,30000000.0,0.333
26,34000000.0,0.332
27,36000000.0,0.336
28,38000000.0,0.334
29,40000000.0,0.337
30,42000000.0,0.336
31,44000000.0,0.337
32,46000000.0,0.339
33,48000000.0,0.336
34,50000000.0,0.338
35,52000000.0,0.34
36,54000000.0,0.336
37,58000000.0,0.341
38,60000000.0,0.34
