,x,y
0,1e-05,0.945
1,1000.0,0.941
2,2000.0,0.937
3,5000.0,0.929
4,10000.0,0.922
5,20000.0,0.914
6,50000.0,0.895
7,100000.0,0.872
8,200000.0,0.841
9,300000.0,0.814
10,400000.0,0.792
11,500000.0,0.775
12,600000.0,0.759
13,700000.0,0.738
14,800000.0,0.711
15,900000.0,0.684
16,1000000.0,0.654
17,1200000.0,0.624
18,1400000.0,0.666
19,1600000.0,0.696
20,1800000.0,0.692
21,2000000.0,0.688
22,2200000.0,0.685
23,2400000.0,0.678
24,2600000.0,0.671
25,2800000.0,0.664
26,3000000.0,0.656
27,3200000.0,0.65
28,3400000.0,0.644
29,3600000.0,0.64
30,3800000.0,0.634
31,4000000.0,0.628
32,4200000.0,0.625
33,4600000.0,0.622
34,4800000.0,0.62
35,5000000.0,0.623
36,5200000.0,0.624
37,5400000.0,0.629
38,5600000.0,0.63
39,5800000.0,0.635
40,6000000.0,0.638
41,6200000.0,0.651
42,6400000.0,0.654
43,6600000.0,0.67
44,6800000.0,0.677
45,7000000.0,0.689
46,7200000.0,0.71
47,7400000.0,0.715
48,7600000.0,0.729
49,7800000.0,0.738
50,8000000.0,0.745
51,8500000.0,0.758
52,9000000.0,0.756
53,9500000.0,0.745
54,10000000.0,0.729
55,10500000.0,0.711
56,11000000.0,0.692
57,11500000.0,0.672
58,12000000.0,0.654
59,12500000.0,0.632
60,13000000.0,0.614
61,13500000.0,0.592
62,14000000.0,0.576
63,14500000.0,0.572
64,15000000.0,0.563
65,16000000.0,0.575
66,17000000.0,0.581
67,18000000.0,0.588
68,19000000.0,0.592
69,20000000.0,0.591
70,21000000.0,0.595
71,23000000.0,0.594
72,24000000.0,0.592
73,25000000.0,0.596
74,26000000.0,0.588
75,27000000.0,0.586
76,28000000.0,0.59
77,29000000.0,0.585
78,30000000.0,0.577
79,32000000.0,0.58
80,34000000.0,0.57
81,36000000.0,0.592
82,38000000.0,0.587
83,40000000.0,0.592
84,42000000.0,0.582
85,44000000.0,0.578
86,46000000.0,0.585
87,48000000.0,0.589
88,50000000.0,0.575
89,52000000.0,0.571
90,54000000.0,0.578
91,56000000.0,0.588
92,60000000.0,0.587
