,x,y
0,1e-05,0.87
1,24500.0,0.869
2,100000.0,0.868
3,150000.0,0.867
4,215000.0,0.865
5,300000.0,0.864
6,465000.0,0.86
7,700000.0,0.855
8,1000000.0,0.849
9,1500000.0,0.838
10,2150000.0,0.824
11,3000000.0,0.806
12,4650000.0,0.771
13,7000000.0,0.72
14,10000000.0,0.656
15,12000000.0,0.613
16,13000000.0,0.592
17,14000000.0,0.571
18,15000000.0,0.56
19,21000000.0,0.559
20,22000000.0,0.56
21,23000000.0,0.559
22,24000000.0,0.561
23,25000000.0,0.56
24,26000000.0,0.562
25,27000000.0,0.563
26,28000000.0,0.564
27,29000000.0,0.567
28,32000000.0,0.572
29,34000000.0,0.573
30,36000000.0,0.579
31,38000000.0,0.58
32,40000000.0,0.586
33,42000000.0,0.588
34,44000000.0,0.592
35,46000000.0,0.597
36,48000000.0,0.604
37,50000000.0,0.606
38,52000000.0,0.611
39,54000000.0,0.613
40,58000000.0,0.615
41,60000000.0,0.62
