,x,y
0,1e-05,0.022
1,3177.3,0.001
2,5000.0,0.06
3,10000.0,0.068
4,20000.0,0.078
5,50000.0,0.104
6,100000.0,0.128
7,200000.0,0.152
8,300000.0,0.173
9,400000.0,0.192
10,500000.0,0.209
11,600000.0,0.225
12,700000.0,0.24
13,800000.0,0.253
14,900000.0,0.274
15,1000000.0,0.278
16,1200000.0,0.287
17,1400000.0,0.297
18,1600000.0,0.314
19,1800000.0,0.334
20,2000000.0,0.324
21,2200000.0,0.304
22,2600000.0,0.309
23,2800000.0,0.32
24,3000000.0,0.331
25,3200000.0,0.341
26,3400000.0,0.349
27,3600000.0,0.357
28,3800000.0,0.364
29,4000000.0,0.37
30,4200000.0,0.375
31,4400000.0,0.379
32,4600000.0,0.385
33,4800000.0,0.388
34,5000000.0,0.393
35,5200000.0,0.398
36,5400000.0,0.401
37,5600000.0,0.408
38,5800000.0,0.409
39,6000000.0,0.418
40,6200000.0,0.421
41,6400000.0,0.423
42,6600000.0,0.429
43,6800000.0,0.427
44,7000000.0,0.435
45,7200000.0,0.434
46,7400000.0,0.429
47,7600000.0,0.434
48,7800000.0,0.426
49,8000000.0,0.433
50,8500000.0,0.427
51,9000000.0,0.42
52,9500000.0,0.414
53,10000000.0,0.413
54,10500000.0,0.417
55,11000000.0,0.424
56,11500000.0,0.434
57,12000000.0,0.446
58,12500000.0,0.457
59,13000000.0,0.469
60,13500000.0,0.483
61,14000000.0,0.496
62,14500000.0,0.513
63,15000000.0,0.527
64,16000000.0,0.553
65,17000000.0,0.565
66,18000000.0,0.566
67,19000000.0,0.564
68,21000000.0,0.561
69,22000000.0,0.559
70,23000000.0,0.56
71,24000000.0,0.559
72,25000000.0,0.561
73,27000000.0,0.563
74,28000000.0,0.564
75,29000000.0,0.562
76,30000000.0,0.566
77,32000000.0,0.564
78,34000000.0,0.567
79,40000000.0,0.568
80,42000000.0,0.57
81,44000000.0,0.566
82,46000000.0,0.494
83,48000000.0,0.497
84,50000000.0,0.49
85,52000000.0,0.487
86,56000000.0,0.488
87,58000000.0,0.483
88,60000000.0,0.481
