,x,y
0,1e-05,0.25
1,21500.0,0.251
2,70000.0,0.252
3,150000.0,0.254
4,215000.0,0.255
5,300000.0,0.257
6,465000.0,0.261
7,700000.0,0.267
8,1000000.0,0.274
9,1500000.0,0.286
10,2150000.0,0.302
11,3000000.0,0.322
12,4650000.0,0.362
13,7000000.0,0.419
14,10000000.0,0.491
15,12000000.0,0.54
16,13000000.0,0.564
17,14000000.0,0.588
18,15000000.0,0.6
19,21000000.0,0.601
20,22000000.0,0.602
21,23000000.0,0.603
22,24000000.0,0.605
23,25000000.0,0.606
24,26000000.0,0.608
25,27000000.0,0.609
26,28000000.0,0.61
27,29000000.0,0.611
28,30000000.0,0.614
29,32000000.0,0.617
30,34000000.0,0.619
31,36000000.0,0.62
32,38000000.0,0.621
33,40000000.0,0.622
34,44000000.0,0.623
35,48000000.0,0.622
36,50000000.0,0.624
37,52000000.0,0.623
38,56000000.0,0.624
39,58000000.0,0.623
40,60000000.0,0.619
