,x,y
0,1e-05,0.333
1,30000.0,0.334
2,220000.0,0.335
3,300000.0,0.336
4,470000.0,0.337
5,700000.0,0.338
6,1000000.0,0.341
7,1500000.0,0.344
8,2200000.0,0.349
9,3000000.0,0.355
10,4700000.0,0.368
11,7000000.0,0.385
12,10000000.0,0.407
13,12000000.0,0.422
14,13000000.0,0.429
15,14000000.0,0.436
16,15000000.0,0.44
17,21000000.0,0.436
18,22000000.0,0.437
19,23000000.0,0.436
20,24000000.0,0.437
21,26000000.0,0.434
22,27000000.0,0.437
23,28000000.0,0.436
24,32000000.0,0.438
25,34000000.0,0.436
26,36000000.0,0.444
27,38000000.0,0.441
28,42000000.0,0.44
29,44000000.0,0.445
30,46000000.0,0.444
31,48000000.0,0.437
32,50000000.0,0.444
33,52000000.0,0.447
34,54000000.0,0.44
35,56000000.0,0.439
36,58000000.0,0.345
37,60000000.0,0.346
