,x,y
0,1e-05,0.119
1,247886.1,0.12
2,270955.1,0.121
3,312239.8,0.122
4,341297.7,0.123
5,403700.9,0.124
6,429902.0,0.125
7,456103.2,0.126
8,501955.3,0.127
9,558010.6,0.129
10,607515.5,0.13
11,640518.8,0.131
12,723661.3,0.133
13,806803.9,0.136
14,868100.3,0.137
15,929396.7,0.139
16,1051990.0,0.143
17,1149559.0,0.145
18,1264162.0,0.149
19,1377041.0,0.152
20,1500000.0,0.155
21,1600000.0,0.158
22,1775000.0,0.163
23,2000000.0,0.169
24,2300000.0,0.178
25,2700000.0,0.189
26,2850000.0,0.193
27,3000000.0,0.197
28,3127165.0,0.201
29,3263214.0,0.205
30,3379534.0,0.208
31,3500000.0,0.211
32,3610675.0,0.214
33,3766225.0,0.219
34,3920653.0,0.223
35,4000000.0,0.225
36,4119930.0,0.229
37,4261080.0,0.233
38,4296010.0,0.234
39,4383320.0,0.236
40,4512760.0,0.24
41,4581590.0,0.242
42,4669930.0,0.244
43,4804015.0,0.248
44,4941950.0,0.252
45,5000000.0,0.253
46,5082302.0,0.256
47,5264437.0,0.261
48,5392189.0,0.264
49,5538111.0,0.268
50,5698841.0,0.273
51,5847482.0,0.277
52,6000000.0,0.281
53,6220738.0,0.288
54,6407018.0,0.293
55,6612798.0,0.299
56,6803645.0,0.304
57,7117821.0,0.313
58,7328798.0,0.319
59,7561790.0,0.325
60,7777810.0,0.331
61,8000000.0,0.338
62,8330550.0,0.347
63,8563722.0,0.353
64,9000000.0,0.366
65,9424567.0,0.378
66,10000000.0,0.394
67,10999340.0,0.422
68,11241900.0,0.429
69,11614770.0,0.439
70,12000000.0,0.45
71,12120670.0,0.453
72,12211960.0,0.456
73,12350200.0,0.46
74,12490000.0,0.464
75,12615590.0,0.467
76,12806350.0,0.472
77,13000000.0,0.478
78,13105800.0,0.481
79,13243100.0,0.485
80,13366330.0,0.488
81,13490700.0,0.492
82,13616260.0,0.495
83,13782840.0,0.5
84,14000000.0,0.506
85,14123360.0,0.509
86,14247800.0,0.513
87,14373350.0,0.516
88,14500000.0,0.52
89,21000000.0,0.524
90,22000000.0,0.54
91,23000000.0,0.542
92,24000000.0,0.54
93,25000000.0,0.55
94,26000000.0,0.547
95,27000000.0,0.542
96,28000000.0,0.534
97,29000000.0,0.56
98,30000000.0,0.558
99,32000000.0,0.55
100,34000000.0,0.559
101,36000000.0,0.548
102,38000000.0,0.545
103,40000000.0,0.54
104,42000000.0,0.557
105,44000000.0,0.554
106,46000000.0,0.548
107,48000000.0,0.543
108,50000000.0,0.538
109,52000000.0,0.534
110,54000000.0,0.559
111,56000000.0,0.484
112,58000000.0,0.55
113,60000000.0,0.473
