,x,y
0,1e-05,0.18
1,30000.0,0.181
2,70000.0,0.182
3,150000.0,0.183
4,215000.0,0.185
5,300000.0,0.187
6,465000.0,0.191
7,700000.0,0.196
8,1000000.0,0.203
9,1500000.0,0.215
10,2150000.0,0.23
11,3000000.0,0.25
12,4650000.0,0.289
13,7000000.0,0.344
14,10000000.0,0.414
15,12000000.0,0.461
16,13000000.0,0.485
17,14000000.0,0.508
18,15000000.0,0.52
19,21000000.0,0.514
20,22000000.0,0.509
21,23000000.0,0.504
22,24000000.0,0.5
23,25000000.0,0.495
24,27000000.0,0.49
25,28000000.0,0.487
26,29000000.0,0.484
27,30000000.0,0.483
28,32000000.0,0.482
29,34000000.0,0.479
30,36000000.0,0.482
31,38000000.0,0.478
32,40000000.0,0.48
33,42000000.0,0.478
34,46000000.0,0.479
35,48000000.0,0.477
36,50000000.0,0.476
37,52000000.0,0.478
38,54000000.0,0.476
39,56000000.0,0.473
40,60000000.0,0.477
