,x,y
0,1e-05,0.907
1,3511.1,0.982
2,5000.0,0.981
3,10000.0,0.977
4,20000.0,0.972
5,50000.0,0.963
6,100000.0,0.946
7,200000.0,0.904
8,300000.0,0.869
9,400000.0,0.836
10,500000.0,0.805
11,600000.0,0.775
12,700000.0,0.772
13,800000.0,0.743
14,900000.0,0.704
15,1000000.0,0.668
16,1200000.0,0.633
17,1400000.0,0.648
18,1600000.0,0.647
19,1800000.0,0.618
20,2000000.0,0.578
21,2200000.0,0.535
22,2400000.0,0.494
23,2600000.0,0.456
24,2800000.0,0.424
25,3000000.0,0.397
26,3200000.0,0.376
27,3400000.0,0.36
28,3600000.0,0.347
29,3800000.0,0.336
30,4000000.0,0.328
31,4200000.0,0.32
32,4400000.0,0.311
33,4600000.0,0.305
34,4800000.0,0.299
35,5000000.0,0.29
36,5200000.0,0.283
37,5400000.0,0.275
38,5600000.0,0.268
39,5800000.0,0.26
40,6000000.0,0.253
41,6200000.0,0.244
42,6400000.0,0.238
43,6600000.0,0.232
44,6800000.0,0.225
45,7000000.0,0.22
46,7200000.0,0.216
47,7400000.0,0.213
48,7600000.0,0.215
49,7800000.0,0.212
50,8000000.0,0.213
51,8500000.0,0.214
52,9000000.0,0.219
53,9500000.0,0.22
54,10000000.0,0.215
55,10500000.0,0.205
56,11000000.0,0.193
57,11500000.0,0.18
58,12000000.0,0.166
59,12500000.0,0.153
60,13000000.0,0.139
61,13500000.0,0.127
62,14000000.0,0.114
63,14500000.0,0.104
64,15000000.0,0.096
65,16000000.0,0.086
66,17000000.0,0.083
67,18000000.0,0.082
68,20000000.0,0.083
69,22000000.0,0.084
70,23000000.0,0.083
71,25000000.0,0.082
72,26000000.0,0.081
73,28000000.0,0.078
74,30000000.0,0.077
75,32000000.0,0.075
76,34000000.0,0.071
77,36000000.0,0.069
78,38000000.0,0.068
79,40000000.0,0.066
80,42000000.0,0.065
81,46000000.0,0.062
82,48000000.0,0.061
83,50000000.0,0.062
84,52000000.0,0.06
85,54000000.0,0.058
86,56000000.0,0.059
87,60000000.0,0.058
