,x,y
0,1e-05,0.984
1,77282.0,0.983
2,236690.0,0.982
3,400000.0,0.981
4,549080.0,0.98
5,700000.0,0.979
6,848620.0,0.978
7,1023100.0,0.977
8,1173000.0,0.976
9,1321900.0,0.975
10,1471100.0,0.974
11,1621100.0,0.973
12,1790100.0,0.972
13,1960700.0,0.971
14,2091100.0,0.97
15,2250000.0,0.969
16,2403900.0,0.968
17,2559600.0,0.967
18,2712700.0,0.966
19,2870200.0,0.965
20,3029000.0,0.964
21,3181500.0,0.963
22,3338000.0,0.962
23,3500000.0,0.961
24,3650800.0,0.96
25,3807300.0,0.959
26,3935100.0,0.958
27,4116900.0,0.957
28,4295800.0,0.956
29,4418400.0,0.955
30,4607500.0,0.954
31,4736000.0,0.953
32,4866800.0,0.952
33,5056500.0,0.951
34,5175200.0,0.95
35,5356200.0,0.949
36,5482800.0,0.948
37,5670700.0,0.947
38,5800000.0,0.946
39,6000000.0,0.945
40,6119400.0,0.944
41,6270100.0,0.943
42,6418800.0,0.942
43,6610100.0,0.941
44,6738400.0,0.94
45,6868400.0,0.939
46,7055500.0,0.938
47,7174900.0,0.937
48,7361200.0,0.936
49,7484300.0,0.935
50,7739300.0,0.934
51,7868900.0,0.933
52,8000000.0,0.932
53,8240500.0,0.931
54,8485700.0,0.929
55,8612400.0,0.928
56,8740300.0,0.927
57,9000000.0,0.926
58,9241600.0,0.924
59,9487400.0,0.922
60,9741500.0,0.921
61,10000000.0,0.919
62,10489000.0,0.916
63,11000000.0,0.913
64,11120000.0,0.912
65,12000000.0,0.906
66,13000000.0,0.9
67,14000000.0,0.893
68,15000000.0,0.89
69,60000000.0,0.89
