,x,y
0,1e-05,0.016
1,81654.26,0.017
2,245222.6,0.018
3,399937.7,0.019
4,600076.3,0.02
5,701585.8,0.021
6,901690.2,0.022
7,1100000.0,0.023
8,1200000.0,0.024
9,1500000.0,0.026
10,1800000.0,0.028
11,2000000.0,0.029
12,2500000.0,0.032
13,3000000.0,0.035
14,4000000.0,0.042
15,5000000.0,0.048
16,6000000.0,0.055
17,7000000.0,0.061
18,8000000.0,0.068
19,9000000.0,0.074
20,10000000.0,0.081
21,11000000.0,0.087
22,12000000.0,0.094
23,13000000.0,0.1
24,14000000.0,0.107
25,15000000.0,0.11
26,60000000.0,0.11
