,x,y
0,1e-05,0.5
1,5532.6,0.469
2,10000.0,0.48
3,20000.0,0.492
4,50000.0,0.525
5,100000.0,0.564
6,200000.0,0.605
7,300000.0,0.635
8,400000.0,0.658
9,500000.0,0.674
10,600000.0,0.686
11,700000.0,0.695
12,800000.0,0.714
13,900000.0,0.703
14,1000000.0,0.694
15,1200000.0,0.695
16,1400000.0,0.705
17,1600000.0,0.713
18,1800000.0,0.697
19,2000000.0,0.686
20,2200000.0,0.679
21,2400000.0,0.678
22,2600000.0,0.675
23,2800000.0,0.683
24,3000000.0,0.694
25,3200000.0,0.707
26,3400000.0,0.719
27,3600000.0,0.731
28,3800000.0,0.74
29,4000000.0,0.747
30,4200000.0,0.753
31,4400000.0,0.759
32,4600000.0,0.765
33,4800000.0,0.768
34,5000000.0,0.774
35,5200000.0,0.778
36,5400000.0,0.782
37,5600000.0,0.786
38,5800000.0,0.789
39,6000000.0,0.794
40,6200000.0,0.797
41,6400000.0,0.802
42,6600000.0,0.805
43,6800000.0,0.809
44,7000000.0,0.812
45,7200000.0,0.814
46,7400000.0,0.819
47,7600000.0,0.822
48,7800000.0,0.825
49,8000000.0,0.828
50,8500000.0,0.833
51,9000000.0,0.836
52,10000000.0,0.834
53,10500000.0,0.832
54,11000000.0,0.831
55,11500000.0,0.83
56,12000000.0,0.832
57,12500000.0,0.834
58,13000000.0,0.838
59,13500000.0,0.841
60,14000000.0,0.846
61,14500000.0,0.849
62,15000000.0,0.855
63,16000000.0,0.863
64,17000000.0,0.873
65,18000000.0,0.882
66,19000000.0,0.886
67,20000000.0,0.887
68,21000000.0,0.888
69,22000000.0,0.886
70,23000000.0,0.885
71,25000000.0,0.883
72,26000000.0,0.884
73,27000000.0,0.882
74,28000000.0,0.881
75,29000000.0,0.882
76,30000000.0,0.881
77,32000000.0,0.88
78,40000000.0,0.878
79,42000000.0,0.879
80,44000000.0,0.878
81,46000000.0,0.875
82,50000000.0,0.876
83,52000000.0,0.874
84,54000000.0,0.873
85,56000000.0,0.872
86,58000000.0,0.873
87,60000000.0,0.874
