,x,y
0,1e-05,0.5
1,30000.0,0.499
2,100000.0,0.498
3,150000.0,0.497
4,215000.0,0.496
5,300000.0,0.495
6,465000.0,0.492
7,700000.0,0.487
8,1000000.0,0.482
9,1500000.0,0.473
10,2150000.0,0.461
11,3000000.0,0.446
12,4650000.0,0.417
13,7000000.0,0.374
14,10000000.0,0.321
15,12000000.0,0.285
16,13000000.0,0.267
17,14000000.0,0.249
18,15000000.0,0.24
19,20000000.0,0.053
20,27000000.0,0.052
21,30000000.0,0.051
22,34000000.0,0.049
23,42000000.0,0.074
24,44000000.0,0.075
25,46000000.0,0.077
26,48000000.0,0.078
27,50000000.0,0.079
28,52000000.0,0.081
29,54000000.0,0.082
30,58000000.0,0.083
31,60000000.0,0.084
