,x,y
0,1e-05,0.992
1,454.01,1.0
2,1000.0,0.995
3,2000.0,0.994
4,5000.0,0.99
5,10000.0,0.986
6,20000.0,0.981
7,50000.0,0.968
8,100000.0,0.953
9,200000.0,0.936
10,300000.0,0.921
11,400000.0,0.905
12,500000.0,0.893
13,600000.0,0.879
14,700000.0,0.864
15,800000.0,0.849
16,900000.0,0.834
17,1000000.0,0.82
18,1200000.0,0.816
19,1400000.0,0.799
20,1600000.0,0.765
21,1800000.0,0.747
22,2000000.0,0.733
23,2200000.0,0.722
24,2400000.0,0.708
25,2600000.0,0.694
26,2800000.0,0.677
27,3000000.0,0.66
28,3200000.0,0.642
29,3400000.0,0.624
30,3600000.0,0.608
31,3800000.0,0.594
32,4000000.0,0.582
33,4200000.0,0.571
34,4400000.0,0.561
35,4600000.0,0.553
36,4800000.0,0.545
37,5000000.0,0.538
38,5200000.0,0.532
39,5400000.0,0.527
40,5600000.0,0.522
41,5800000.0,0.517
42,6000000.0,0.513
43,6200000.0,0.51
44,6400000.0,0.508
45,6600000.0,0.506
46,7000000.0,0.505
47,7400000.0,0.507
48,7600000.0,0.504
49,7800000.0,0.507
50,8000000.0,0.504
51,8500000.0,0.5
52,9000000.0,0.494
53,9500000.0,0.485
54,10000000.0,0.475
55,10500000.0,0.464
56,11000000.0,0.453
57,11500000.0,0.441
58,12000000.0,0.428
59,12500000.0,0.414
60,13000000.0,0.399
61,13500000.0,0.382
62,14000000.0,0.367
63,14500000.0,0.355
64,15000000.0,0.345
65,16000000.0,0.342
66,17000000.0,0.348
67,18000000.0,0.354
68,19000000.0,0.357
69,20000000.0,0.362
70,21000000.0,0.363
71,22000000.0,0.367
72,23000000.0,0.368
73,24000000.0,0.373
74,26000000.0,0.377
75,27000000.0,0.384
76,28000000.0,0.387
77,29000000.0,0.391
78,30000000.0,0.393
79,32000000.0,0.398
80,34000000.0,0.405
81,36000000.0,0.406
82,38000000.0,0.414
83,40000000.0,0.416
84,42000000.0,0.422
85,44000000.0,0.426
86,46000000.0,0.428
87,48000000.0,0.433
88,52000000.0,0.434
89,54000000.0,0.441
90,58000000.0,0.44
91,60000000.0,0.439
