,x,y
0,1e-05,0.096
1,30000.0,0.097
2,100000.0,0.098
3,150000.0,0.099
4,215000.0,0.1
5,300000.0,0.102
6,465000.0,0.105
7,700000.0,0.11
8,1000000.0,0.116
9,1500000.0,0.125
10,2150000.0,0.138
11,3000000.0,0.155
12,4650000.0,0.187
13,7000000.0,0.233
14,10000000.0,0.292
15,12000000.0,0.331
16,13000000.0,0.351
17,14000000.0,0.37
18,15000000.0,0.38
19,21000000.0,0.381
20,22000000.0,0.383
21,23000000.0,0.384
22,24000000.0,0.386
23,25000000.0,0.387
24,26000000.0,0.389
25,27000000.0,0.39
26,28000000.0,0.392
27,29000000.0,0.393
28,30000000.0,0.395
29,32000000.0,0.397
30,34000000.0,0.4
31,36000000.0,0.402
32,38000000.0,0.403
33,40000000.0,0.405
34,42000000.0,0.403
35,44000000.0,0.404
36,46000000.0,0.406
37,48000000.0,0.402
38,52000000.0,0.403
39,54000000.0,0.404
40,56000000.0,0.399
41,58000000.0,0.396
42,60000000.0,0.398
