,x,y
0,1e-05,0.007
1,1000.0,0.008
2,2000.0,0.009
3,5000.0,0.012
4,10000.0,0.014
5,20000.0,0.017
6,50000.0,0.023
7,100000.0,0.034
8,200000.0,0.058
9,300000.0,0.077
10,400000.0,0.093
11,500000.0,0.109
12,600000.0,0.124
13,700000.0,0.139
14,800000.0,0.157
15,900000.0,0.178
16,1000000.0,0.194
17,1200000.0,0.227
18,1400000.0,0.262
19,1600000.0,0.29
20,1800000.0,0.298
21,2000000.0,0.297
22,2200000.0,0.289
23,2400000.0,0.285
24,2800000.0,0.287
25,3000000.0,0.289
26,3200000.0,0.291
27,3400000.0,0.292
28,3600000.0,0.291
29,3800000.0,0.288
30,4000000.0,0.285
31,4200000.0,0.284
32,4400000.0,0.28
33,4600000.0,0.276
34,4800000.0,0.275
35,5000000.0,0.271
36,5200000.0,0.27
37,5600000.0,0.267
38,5800000.0,0.27
39,6000000.0,0.267
40,6200000.0,0.269
41,6400000.0,0.267
42,6600000.0,0.268
43,7000000.0,0.265
44,7200000.0,0.263
45,7400000.0,0.26
46,7600000.0,0.257
47,7800000.0,0.254
48,8000000.0,0.246
49,8500000.0,0.233
50,9000000.0,0.222
51,9500000.0,0.216
52,10000000.0,0.215
53,10500000.0,0.217
54,11000000.0,0.221
55,11500000.0,0.227
56,12000000.0,0.234
57,12500000.0,0.243
58,13000000.0,0.252
59,13500000.0,0.264
60,14000000.0,0.276
61,14500000.0,0.294
62,15000000.0,0.309
63,16000000.0,0.339
64,17000000.0,0.354
65,18000000.0,0.353
66,19000000.0,0.351
67,20000000.0,0.344
68,21000000.0,0.347
69,22000000.0,0.342
70,23000000.0,0.346
71,24000000.0,0.343
72,25000000.0,0.348
73,27000000.0,0.346
74,28000000.0,0.353
75,29000000.0,0.351
76,30000000.0,0.349
77,32000000.0,0.364
78,34000000.0,0.36
79,36000000.0,0.377
80,38000000.0,0.373
81,40000000.0,0.377
82,44000000.0,0.376
83,46000000.0,0.37
84,48000000.0,0.38
85,50000000.0,0.382
86,52000000.0,0.377
87,54000000.0,0.367
88,56000000.0,0.379
89,58000000.0,0.384
90,60000000.0,0.38
