,x,y
0,1e-05,0.356
1,2000.0,0.054
2,5000.0,0.677
3,10000.0,0.67
4,20000.0,0.664
5,50000.0,0.656
6,100000.0,0.649
7,200000.0,0.633
8,300000.0,0.616
9,400000.0,0.604
10,500000.0,0.593
11,600000.0,0.584
12,700000.0,0.581
13,800000.0,0.575
14,900000.0,0.572
15,1000000.0,0.566
16,1200000.0,0.549
17,1400000.0,0.547
18,1600000.0,0.524
19,1800000.0,0.505
20,2000000.0,0.491
21,2200000.0,0.482
22,2400000.0,0.474
23,2600000.0,0.466
24,2800000.0,0.459
25,3000000.0,0.453
26,3200000.0,0.447
27,3400000.0,0.439
28,3600000.0,0.431
29,3800000.0,0.425
30,4000000.0,0.421
31,4200000.0,0.416
32,4400000.0,0.411
33,4600000.0,0.41
34,4800000.0,0.406
35,5000000.0,0.403
36,5200000.0,0.403
37,5400000.0,0.399
38,5600000.0,0.4
39,5800000.0,0.396
40,6000000.0,0.398
41,6200000.0,0.394
42,6400000.0,0.396
43,6600000.0,0.393
44,6800000.0,0.395
45,7000000.0,0.392
46,7200000.0,0.393
47,7400000.0,0.394
48,7600000.0,0.394
49,7800000.0,0.399
50,8000000.0,0.4
51,8500000.0,0.41
52,9000000.0,0.423
53,9500000.0,0.433
54,10000000.0,0.44
55,10500000.0,0.444
56,11000000.0,0.446
57,11500000.0,0.445
58,12000000.0,0.443
59,12500000.0,0.441
60,13000000.0,0.436
61,13500000.0,0.431
62,14000000.0,0.424
63,14500000.0,0.417
64,15000000.0,0.41
65,16000000.0,0.393
66,17000000.0,0.379
67,18000000.0,0.375
68,19000000.0,0.379
69,20000000.0,0.381
70,21000000.0,0.388
71,22000000.0,0.39
72,23000000.0,0.396
73,24000000.0,0.395
74,25000000.0,0.399
75,26000000.0,0.399
76,27000000.0,0.399
77,28000000.0,0.402
78,29000000.0,0.4
79,30000000.0,0.399
80,32000000.0,0.404
81,34000000.0,0.397
82,36000000.0,0.399
83,38000000.0,0.393
84,40000000.0,0.395
85,42000000.0,0.396
86,44000000.0,0.391
87,46000000.0,0.391
88,48000000.0,0.395
89,50000000.0,0.388
90,52000000.0,0.387
91,54000000.0,0.39
92,56000000.0,0.393
93,58000000.0,0.39
94,60000000.0,0.381
