,x,y
0,1e-05,0.818
1,49969.46,0.816
2,69971.01,0.815
3,99864.93,0.814
4,199582.0,0.81
5,295998.8,0.806
6,404073.4,0.802
7,500000.0,0.798
8,701337.9,0.79
9,800000.0,0.786
10,900000.0,0.782
11,1000000.0,0.778
12,1200000.0,0.77
13,1400000.0,0.762
14,1503125.0,0.758
15,1700000.0,0.75
16,1900000.0,0.742
17,1998438.0,0.739
18,2200000.0,0.731
19,2400000.0,0.723
20,2800000.0,0.707
21,3000000.0,0.699
22,3400000.0,0.683
23,3500000.0,0.679
24,4000000.0,0.659
25,4500000.0,0.639
26,5000000.0,0.619
27,5500000.0,0.599
28,6000000.0,0.579
29,7000000.0,0.539
30,8000000.0,0.499
31,9000000.0,0.459
32,10000000.0,0.419
33,12000000.0,0.34
34,14000000.0,0.26
35,15000000.0,0.24
36,60000000.0,0.24
