,x,y
0,1e-05,0.6
1,30000.0,0.599
2,100000.0,0.598
3,150000.0,0.597
4,215000.0,0.596
5,300000.0,0.594
6,465000.0,0.591
7,700000.0,0.586
8,1000000.0,0.58
9,1500000.0,0.57
10,2150000.0,0.557
11,3000000.0,0.54
12,4650000.0,0.507
13,7000000.0,0.46
14,10000000.0,0.4
15,12000000.0,0.36
16,13000000.0,0.34
17,14000000.0,0.32
18,15000000.0,0.31
19,21000000.0,0.311
20,22000000.0,0.31
21,23000000.0,0.427
22,24000000.0,0.428
23,25000000.0,0.433
24,26000000.0,0.435
25,27000000.0,0.437
26,28000000.0,0.439
27,29000000.0,0.441
28,30000000.0,0.443
29,32000000.0,0.446
30,34000000.0,0.449
31,36000000.0,0.452
32,38000000.0,0.456
33,40000000.0,0.459
34,42000000.0,0.462
35,44000000.0,0.466
36,46000000.0,0.469
37,48000000.0,0.471
38,50000000.0,0.474
39,52000000.0,0.477
40,54000000.0,0.484
41,56000000.0,0.486
42,58000000.0,0.488
43,60000000.0,0.49
