,x,y
0,1e-05,0.001
1,1.03125e-05,0.002
2,1.125e-05,0.001
3,1.15625e-05,0.002
4,1.3125e-05,0.001
5,1.34375e-05,0.002
6,1.375e-05,0.001
7,1.4375e-05,0.002
8,1.625e-05,0.001
9,2.28125e-05,0.002
10,2.375e-05,0.001
11,2.46875e-05,0.002
12,2.5625e-05,0.001
13,2.75e-05,0.002
14,3.03125e-05,0.001
15,3.125e-05,0.002
16,3.5e-05,0.001
17,3.6875e-05,0.002
18,4.0625e-05,0.001
19,4.4375e-05,0.002
20,4.8125e-05,0.001
21,5.3125e-05,0.002
22,5.46875e-05,0.001
23,5.625e-05,0.002
24,6.09375e-05,0.001
25,6.71875e-05,0.002
26,7.1875e-05,0.001
27,7.8125e-05,0.002
28,8.4375e-05,0.001
29,9.375e-05,0.002
30,0.0001,0.001
31,0.000103125,0.002
32,0.000109375,0.001
33,0.00011875,0.002
34,0.000121875,0.001
35,0.000125,0.002
36,0.000128125,0.001
37,0.00013125,0.002
38,0.000134375,0.001
39,0.0001375,0.002
40,0.00015,0.001
41,0.00016875,0.002
42,0.00019375,0.001
43,0.000209375,0.002
44,0.000246875,0.001
45,0.00029375,0.002
46,0.00033125,0.001
47,0.000340625,0.002
48,0.00036875,0.001
49,0.000378125,0.002
50,0.0003875,0.001
51,0.00040625,0.002
52,0.00044375,0.001
53,0.0005,0.002
54,0.000546875,0.001
55,0.0005625,0.002
56,0.000578125,0.001
57,0.000625,0.002
58,0.000671875,0.001
59,0.00075,0.002
60,0.00078125,0.001
61,0.00084375,0.002
62,0.000875,0.001
63,0.0009375,0.002
64,0.00103125,0.001
65,0.0011875,0.002
66,0.00121875,0.001
67,0.00125,0.002
68,0.00128125,0.001
69,0.0013125,0.002
70,0.00134375,0.001
71,0.0014375,0.002
72,0.001625,0.001
73,0.001875,0.002
74,0.00228125,0.001
75,0.0025625,0.002
76,0.00265625,0.001
77,0.00275,0.002
78,0.00303125,0.001
79,0.0033125,0.002
80,0.00340625,0.001
81,0.00378125,0.002
82,0.003875,0.001
83,0.00396875,0.002
84,0.0040625,0.001
85,0.0044375,0.002
86,0.0048125,0.001
87,0.005,0.002
88,0.00515625,0.001
89,0.00546875,0.002
90,0.00578125,0.001
91,0.0059375,0.002
92,0.00609375,0.001
93,0.00640625,0.002
94,0.0065625,0.001
95,0.00671875,0.002
96,0.0071875,0.001
97,0.0078125,0.002
98,0.008125,0.001
99,0.00875,0.002
100,0.0090625,0.001
101,0.009375,0.002
102,0.01,0.001
103,0.0103125,0.002
104,0.0109375,0.001
105,0.0115625,0.002
106,0.011875,0.001
107,0.0125,0.002
108,0.0128125,0.001
109,0.01375,0.002
110,0.015,0.001
111,0.01625,0.002
112,0.018125,0.001
113,0.02,0.002
114,0.0219875,0.001
115,0.0233125,0.002
116,0.02645782,0.001
117,0.02761563,0.002
118,0.02877344,0.001
119,0.02993125,0.002
120,0.03224688,0.001
121,0.0345625,0.002
122,0.03552735,0.001
123,0.03649219,0.002
124,0.04035157,0.001
125,0.04131641,0.002
126,0.04228125,0.001
127,0.0515625,0.002
128,0.053125,0.001
129,0.059375,0.002
130,0.0609375,0.001
131,0.0625,0.002
132,0.0640625,0.001
133,0.06875,0.002
134,0.075,0.001
135,0.078125,0.002
136,0.08125,0.001
137,0.0875,0.002
138,0.09375,0.001
139,0.121875,0.002
140,0.125,0.001
141,0.14375,0.002
142,0.1625,0.001
143,0.16875,0.002
144,0.1875,0.001
145,0.19375,0.002
146,0.228125,0.001
147,0.246875,0.002
148,0.265625,0.001
149,0.275,0.002
150,0.284375,0.001
151,0.303125,0.002
152,0.321875,0.001
153,0.36875,0.002
154,0.425,0.001
155,0.44375,0.002
156,0.5,0.001
157,0.59375,0.002
158,0.625,0.001
159,0.6875,0.002
160,0.8125,0.001
161,0.875,0.002
162,1.1875,0.001
163,1.375,0.002
164,1.625,0.001
165,2.75,0.002
166,3.125,0.001
167,3.3125,0.002
168,3.875,0.001
169,4.625,0.002
170,5.625,0.001
