,x,y
0,1e-05,0.291
1,379763.9,0.293
2,409527.8,0.294
3,456041.7,0.295
4,459364.1,0.296
5,487604.7,0.297
6,524215.2,0.298
7,540955.0,0.299
8,574434.6,0.3
9,599544.4,0.301
10,633024.0,0.302
11,670849.5,0.303
12,702478.0,0.305
13,755192.1,0.307
14,797363.4,0.308
15,886530.6,0.311
16,909224.5,0.312
17,1000000.0,0.316
18,1095445.0,0.319
19,1200000.0,0.323
20,1400000.0,0.33
21,1600000.0,0.338
22,1800000.0,0.345
23,2000000.0,0.352
24,2167500.0,0.358
25,2199998.0,0.359
26,2374178.0,0.366
27,2400000.0,0.367
28,2495800.0,0.37
29,2600000.0,0.374
30,2755620.0,0.379
31,2822320.0,0.382
32,3000000.0,0.388
33,3113250.0,0.392
34,3500000.0,0.406
35,3855321.0,0.418
36,4016830.0,0.424
37,4086460.0,0.426
38,4626450.0,0.445
39,4985130.0,0.457
40,5616040.0,0.478
41,5778890.0,0.484
42,6018980.0,0.492
43,6326860.0,0.502
44,6385380.0,0.504
45,6462630.0,0.506
46,6509600.0,0.508
47,7003183.0,0.524
48,7202730.0,0.531
49,7989036.0,0.556
50,9000000.0,0.588
51,10000000.0,0.619
52,11000000.0,0.65
53,12000000.0,0.679
54,13000000.0,0.709
55,13490740.0,0.723
56,14000000.0,0.738
57,14429020.0,0.75
58,14903600.0,0.752
59,60000000.0,0.752
