,x,y
0,1e-05,0.31
1,398845.9,0.311
2,1200000.0,0.312
3,2000000.0,0.313
4,3000000.0,0.314
5,4000000.0,0.316
6,5000000.0,0.317
7,6000000.0,0.318
8,8000000.0,0.321
9,10000000.0,0.324
10,15000000.0,0.33
11,21000000.0,0.325
12,22000000.0,0.32
13,23000000.0,0.317
14,24000000.0,0.313
15,25000000.0,0.309
16,26000000.0,0.31
17,27000000.0,0.306
18,28000000.0,0.31
19,29000000.0,0.306
20,32000000.0,0.308
21,34000000.0,0.312
22,36000000.0,0.316
23,38000000.0,0.315
24,40000000.0,0.32
25,44000000.0,0.314
26,46000000.0,0.322
27,48000000.0,0.323
28,50000000.0,0.318
29,52000000.0,0.319
30,54000000.0,0.327
31,56000000.0,0.322
32,58000000.0,0.321
33,60000000.0,0.322
