,x,y
0,1e-05,0.4
1,30.001,0.174
2,1000.0,0.241
3,2000.0,0.244
4,5000.0,0.251
5,10000.0,0.259
6,20000.0,0.271
7,50000.0,0.287
8,100000.0,0.298
9,200000.0,0.303
10,300000.0,0.307
11,400000.0,0.316
12,500000.0,0.329
13,600000.0,0.346
14,700000.0,0.368
15,800000.0,0.391
16,900000.0,0.415
17,1000000.0,0.436
18,1200000.0,0.464
19,1400000.0,0.475
20,1600000.0,0.478
21,1800000.0,0.479
22,2000000.0,0.48
23,2200000.0,0.484
24,2400000.0,0.489
25,2600000.0,0.496
26,2800000.0,0.504
27,3000000.0,0.512
28,3200000.0,0.52
29,3400000.0,0.527
30,3600000.0,0.534
31,3800000.0,0.54
32,4000000.0,0.546
33,4200000.0,0.552
34,4400000.0,0.558
35,4600000.0,0.563
36,4800000.0,0.568
37,5000000.0,0.572
38,5200000.0,0.576
39,5400000.0,0.579
40,5600000.0,0.578
41,5800000.0,0.575
42,6000000.0,0.569
43,6200000.0,0.562
44,6400000.0,0.552
45,6600000.0,0.538
46,6800000.0,0.525
47,7000000.0,0.514
48,7200000.0,0.508
49,7400000.0,0.505
50,7600000.0,0.502
51,7800000.0,0.5
52,8000000.0,0.509
53,8500000.0,0.528
54,9000000.0,0.55
55,9500000.0,0.573
56,10000000.0,0.594
57,10500000.0,0.614
58,11000000.0,0.632
59,11500000.0,0.649
60,12000000.0,0.664
61,12500000.0,0.678
62,13000000.0,0.637
63,13500000.0,0.642
64,14500000.0,0.643
65,15000000.0,0.642
66,16000000.0,0.64
67,17000000.0,0.637
68,18000000.0,0.634
69,19000000.0,0.632
70,20000000.0,0.63
71,21000000.0,0.628
72,22000000.0,0.626
73,23000000.0,0.624
74,24000000.0,0.622
75,25000000.0,0.619
76,26000000.0,0.617
77,27000000.0,0.614
78,28000000.0,0.612
79,29000000.0,0.61
80,30000000.0,0.607
81,32000000.0,0.596
82,34000000.0,0.59
83,36000000.0,0.587
84,38000000.0,0.582
85,40000000.0,0.577
86,42000000.0,0.572
87,44000000.0,0.568
88,46000000.0,0.564
89,48000000.0,0.56
90,50000000.0,0.557
91,52000000.0,0.555
92,54000000.0,0.551
93,56000000.0,0.547
94,58000000.0,0.545
95,60000000.0,0.543
