,x,y
0,1e-05,0.308
1,50000.0,0.309
2,90000.0,0.31
3,150000.0,0.311
4,187000.0,0.312
5,240000.0,0.313
6,290000.0,0.314
7,400000.0,0.316
8,500000.0,0.318
9,600000.0,0.32
10,700000.0,0.322
11,800000.0,0.324
12,900000.0,0.326
13,1000000.0,0.328
14,1500000.0,0.339
15,2000000.0,0.349
16,2500000.0,0.36
17,3000000.0,0.37
18,3500000.0,0.381
19,4000000.0,0.391
20,4500000.0,0.401
21,5000000.0,0.412
22,5500000.0,0.422
23,6000000.0,0.433
24,6500000.0,0.443
25,7000000.0,0.454
26,7500000.0,0.464
27,8000000.0,0.474
28,8500000.0,0.485
29,9000000.0,0.495
30,9500000.0,0.506
31,10000000.0,0.516
32,10500000.0,0.527
33,11000000.0,0.537
34,11500000.0,0.547
35,12000000.0,0.558
36,12500000.0,0.568
37,13000000.0,0.579
38,13500000.0,0.589
39,14000000.0,0.6
40,14500000.0,0.61
41,21000000.0,0.612
42,23000000.0,0.615
43,24000000.0,0.616
44,25000000.0,0.619
45,26000000.0,0.621
46,27000000.0,0.622
47,28000000.0,0.624
48,29000000.0,0.627
49,30000000.0,0.628
50,32000000.0,0.63
51,34000000.0,0.634
52,36000000.0,0.642
53,38000000.0,0.646
54,40000000.0,0.647
55,42000000.0,0.646
56,44000000.0,0.651
57,46000000.0,0.653
58,48000000.0,0.651
59,50000000.0,0.649
60,52000000.0,0.655
61,54000000.0,0.621
62,56000000.0,0.565
63,58000000.0,0.559
64,60000000.0,0.556
