,x,y
0,1e-05,0.513
1,15000.0,0.512
2,60000.0,0.511
3,109472.0,0.51
4,150448.3,0.509
5,200000.0,0.508
6,248671.5,0.507
7,291255.0,0.506
8,337554.5,0.505
9,383842.0,0.504
10,424818.5,0.503
11,478283.5,0.502
12,526623.0,0.501
13,575541.0,0.5
14,600000.0,0.499
15,650000.0,0.498
16,700000.0,0.497
17,750000.0,0.496
18,800000.0,0.495
19,822948.5,0.494
20,870162.0,0.493
21,920084.5,0.492
22,959306.5,0.491
23,1051777.0,0.489
24,1103553.0,0.488
25,1155329.0,0.487
26,1207105.0,0.486
27,1258882.0,0.485
28,1310658.0,0.484
29,1362434.0,0.482
30,1414210.0,0.481
31,1487434.0,0.48
32,1560658.0,0.478
33,1633882.0,0.476
34,1707105.0,0.475
35,1780329.0,0.473
36,1853553.0,0.472
37,1926777.0,0.47
38,2000000.0,0.468
39,2062500.0,0.467
40,2125000.0,0.466
41,2187500.0,0.464
42,2250000.0,0.463
43,2312500.0,0.461
44,2375000.0,0.46
45,2437500.0,0.459
46,2500000.0,0.457
47,2562500.0,0.456
48,2625000.0,0.454
49,2687500.0,0.453
50,2750000.0,0.452
51,2812500.0,0.45
52,2875000.0,0.449
53,2937500.0,0.447
54,3000000.0,0.446
55,3058013.0,0.445
56,3116025.0,0.443
57,3174038.0,0.442
58,3232050.0,0.441
59,3290063.0,0.44
60,3348075.0,0.438
61,3406088.0,0.437
62,3464100.0,0.436
63,3531088.0,0.434
64,3598075.0,0.433
65,3665063.0,0.431
66,3732050.0,0.43
67,3799038.0,0.428
68,3866025.0,0.427
69,3933013.0,0.425
70,4000000.0,0.424
71,4031250.0,0.423
72,4062500.0,0.422
73,4125000.0,0.421
74,4156250.0,0.42
75,4218750.0,0.419
76,4250000.0,0.418
77,4312500.0,0.417
78,4343750.0,0.416
79,4375000.0,0.415
80,4437500.0,0.414
81,4468750.0,0.413
82,4562500.0,0.411
83,4625000.0,0.41
84,4687500.0,0.408
85,4750000.0,0.407
86,4812500.0,0.406
87,4875000.0,0.404
88,4937500.0,0.403
89,5000000.0,0.402
90,5062500.0,0.4
91,5125000.0,0.399
92,5187500.0,0.397
93,5250000.0,0.396
94,5312500.0,0.395
95,5375000.0,0.393
96,5437500.0,0.392
97,5500000.0,0.39
98,5562500.0,0.389
99,5625000.0,0.388
100,5687500.0,0.386
101,5750000.0,0.385
102,5812500.0,0.383
103,5875000.0,0.382
104,5937500.0,0.381
105,6000000.0,0.379
106,6058365.0,0.378
107,6087548.0,0.377
108,6146483.0,0.376
109,6176235.0,0.375
110,6235740.0,0.374
111,6266365.0,0.373
112,6327615.0,0.372
113,6358240.0,0.371
114,6419490.0,0.37
115,6450115.0,0.369
116,6513770.0,0.368
117,6546800.0,0.367
118,6593947.0,0.366
119,6641088.0,0.365
120,6688229.0,0.364
121,6735370.0,0.363
122,6768449.0,0.362
123,6801528.0,0.361
124,6867685.0,0.36
125,6900764.0,0.359
126,6933843.0,0.358
127,7000000.0,0.357
128,7250000.0,0.351
129,7500000.0,0.346
130,7750000.0,0.34
131,8000000.0,0.335
132,8500000.0,0.324
133,9000000.0,0.312
134,9500000.0,0.301
135,10000000.0,0.29
136,10500000.0,0.279
137,11000000.0,0.268
138,11500000.0,0.257
139,12000000.0,0.246
140,12500000.0,0.235
141,13000000.0,0.223
142,13500000.0,0.212
143,14000000.0,0.201
144,14500000.0,0.19
145,60000000.0,0.19
