,x,y
0,1e-05,0.062
1,46500.0,0.063
2,100000.0,0.064
3,215000.0,0.066
4,300000.0,0.067
5,465000.0,0.07
6,700000.0,0.073
7,1000000.0,0.078
8,1500000.0,0.087
9,2150000.0,0.097
10,3000000.0,0.111
11,4650000.0,0.138
12,7000000.0,0.177
13,10000000.0,0.226
14,12000000.0,0.259
15,13000000.0,0.275
16,14000000.0,0.292
17,15000000.0,0.3
18,21000000.0,0.295
19,22000000.0,0.29
20,23000000.0,0.285
21,24000000.0,0.28
22,25000000.0,0.276
23,26000000.0,0.272
24,27000000.0,0.268
25,28000000.0,0.265
26,29000000.0,0.262
27,30000000.0,0.258
28,32000000.0,0.252
29,34000000.0,0.246
30,36000000.0,0.242
31,38000000.0,0.236
32,40000000.0,0.232
33,42000000.0,0.227
34,44000000.0,0.223
35,46000000.0,0.219
36,48000000.0,0.216
37,50000000.0,0.212
38,52000000.0,0.209
39,54000000.0,0.207
40,56000000.0,0.204
41,58000000.0,0.202
42,60000000.0,0.201
