,x,y
0,1e-05,0.978
1,30000.0,0.977
2,70000.0,0.976
3,100000.0,0.975
4,150000.0,0.974
5,220000.0,0.972
6,300000.0,0.97
7,470000.0,0.965
8,700000.0,0.958
9,1000000.0,0.949
10,1500000.0,0.935
11,2200000.0,0.915
12,3000000.0,0.892
13,4700000.0,0.843
14,7000000.0,0.776
15,10000000.0,0.69
16,12000000.0,0.632
17,13000000.0,0.603
18,14000000.0,0.574
19,15000000.0,0.56
20,22000000.0,0.555
21,23000000.0,0.553
22,24000000.0,0.547
23,25000000.0,0.545
24,26000000.0,0.543
25,27000000.0,0.538
26,28000000.0,0.539
27,29000000.0,0.534
28,30000000.0,0.532
29,32000000.0,0.528
30,34000000.0,0.525
31,36000000.0,0.511
32,38000000.0,0.509
33,40000000.0,0.507
34,42000000.0,0.503
35,46000000.0,0.506
36,48000000.0,0.501
37,50000000.0,0.499
38,52000000.0,0.596
39,54000000.0,0.597
40,56000000.0,0.598
41,58000000.0,0.6
42,60000000.0,0.601
