,x,y
0,1e-05,0.348
1,65000.0,0.349
2,150000.0,0.35
3,237500.0,0.351
4,399342.9,0.353
5,499154.7,0.354
6,600000.0,0.355
7,801559.9,0.357
8,1000000.0,0.36
9,1118000.0,0.361
10,1200000.0,0.362
11,1298600.0,0.363
12,1456100.0,0.365
13,1496500.0,0.366
14,1578000.0,0.367
15,1767000.0,0.369
16,1846000.0,0.37
17,2000000.0,0.372
18,2200000.0,0.374
19,2500000.0,0.377
20,3000000.0,0.383
21,4000000.0,0.395
22,5000000.0,0.407
23,6500000.0,0.425
24,8000000.0,0.443
25,9397000.0,0.459
26,10000200.0,0.461
27,10500000.0,0.467
28,12000000.0,0.485
29,14000000.0,0.509
30,14610350.0,0.515
31,22000000.0,0.513
32,25000000.0,0.51
33,26000000.0,0.512
34,27000000.0,0.51
35,28000000.0,0.507
36,29000000.0,0.509
37,32000000.0,0.503
38,34000000.0,0.505
39,36000000.0,0.501
40,38000000.0,0.502
41,40000000.0,0.498
42,42000000.0,0.492
43,44000000.0,0.494
44,46000000.0,0.491
45,48000000.0,0.486
46,50000000.0,0.483
47,52000000.0,0.484
48,56000000.0,0.481
49,58000000.0,0.476
50,60000000.0,0.472
