,x,y
0,1e-05,0.906
1,2034.701,0.995
2,2035.0,0.983
3,10000.0,0.961
4,50000.0,0.938
5,100000.0,0.933
6,200000.0,0.919
7,300000.0,0.927
8,400000.0,0.914
9,500000.0,0.901
10,600000.0,0.872
11,700000.0,0.879
12,800000.0,0.881
13,900000.0,0.876
14,1000000.0,0.881
15,1100000.0,0.883
16,1250000.0,0.892
17,1500000.0,0.901
18,1750000.0,0.888
19,2000000.0,0.861
20,3000000.0,0.682
21,4000000.0,0.532
22,5000000.0,0.367
23,6000000.0,0.152
24,6200000.0,0.137
25,6400000.0,0.124
26,6600000.0,0.113
27,6800000.0,0.104
28,7000000.0,0.096
29,7200000.0,0.089
30,7400000.0,0.087
31,7600000.0,0.083
32,7800000.0,0.082
33,8000000.0,0.081
34,9000000.0,0.083
35,9500000.0,0.084
36,11000000.0,0.083
37,11500000.0,0.081
38,12000000.0,0.079
39,12500000.0,0.076
40,13000000.0,0.072
41,13500000.0,0.066
42,14000000.0,0.06
43,14500000.0,0.052
44,15000000.0,0.046
45,16000000.0,0.036
46,17000000.0,0.029
47,18000000.0,0.025
48,19000000.0,0.022
49,20000000.0,0.019
50,21000000.0,0.018
51,22000000.0,0.016
52,23000000.0,0.015
53,24000000.0,0.014
54,25000000.0,0.013
55,27000000.0,0.012
56,29000000.0,0.011
57,32000000.0,0.01
58,34000000.0,0.009
59,38000000.0,0.008
60,42000000.0,0.007
61,50000000.0,0.006
62,60000000.0,0.006
