,x,y
0,1e-05,0.904
1,30000.0,0.903
2,100000.0,0.902
3,150000.0,0.901
4,215000.0,0.9
5,300000.0,0.898
6,465000.0,0.895
7,700000.0,0.89
8,1000000.0,0.884
9,1500000.0,0.875
10,2150000.0,0.862
11,3000000.0,0.845
12,4650000.0,0.813
13,7000000.0,0.767
14,10000000.0,0.708
15,12000000.0,0.669
16,13000000.0,0.649
17,14000000.0,0.63
18,15000000.0,0.62
19,21000000.0,0.621
20,22000000.0,0.618
21,24000000.0,0.617
22,25000000.0,0.616
23,26000000.0,0.614
24,27000000.0,0.615
25,28000000.0,0.611
26,30000000.0,0.61
27,32000000.0,0.607
28,34000000.0,0.603
29,38000000.0,0.6
30,42000000.0,0.598
31,44000000.0,0.597
32,46000000.0,0.598
33,48000000.0,0.581
34,50000000.0,0.582
35,52000000.0,0.592
36,54000000.0,0.593
37,56000000.0,0.59
38,58000000.0,0.591
39,60000000.0,0.591
