,x,y
0,1e-05,0.904
1,30000.0,0.903
2,100000.0,0.902
3,150000.0,0.901
4,215000.0,0.9
5,300000.0,0.898
6,465000.0,0.895
7,700000.0,0.89
8,1000000.0,0.884
9,1500000.0,0.875
10,2150000.0,0.862
11,3000000.0,0.845
12,4650000.0,0.813
13,7000000.0,0.767
14,10000000.0,0.708
15,12000000.0,0.669
16,13000000.0,0.649
17,14000000.0,0.63
18,15000000.0,0.62
19,21000000.0,0.622
20,22000000.0,0.624
21,23000000.0,0.625
22,24000000.0,0.628
23,25000000.0,0.629
24,26000000.0,0.631
25,27000000.0,0.634
26,28000000.0,0.635
27,29000000.0,0.637
28,30000000.0,0.64
29,32000000.0,0.643
30,34000000.0,0.649
31,36000000.0,0.651
32,38000000.0,0.656
33,40000000.0,0.661
34,42000000.0,0.664
35,44000000.0,0.667
36,46000000.0,0.672
37,48000000.0,0.676
38,50000000.0,0.677
39,52000000.0,0.68
40,54000000.0,0.684
41,56000000.0,0.687
42,58000000.0,0.689
43,60000000.0,0.689
