,x,y
0,1e-05,0.49
1,46500.0,0.491
2,150000.0,0.492
3,215000.0,0.493
4,300000.0,0.494
5,465000.0,0.496
6,700000.0,0.499
7,1000000.0,0.502
8,1500000.0,0.509
9,2150000.0,0.517
10,3000000.0,0.527
11,4650000.0,0.548
12,7000000.0,0.577
13,10000000.0,0.614
14,12000000.0,0.639
15,13000000.0,0.651
16,14000000.0,0.664
17,15000000.0,0.67
18,21000000.0,0.674
19,22000000.0,0.675
20,23000000.0,0.677
21,24000000.0,0.68
22,25000000.0,0.681
23,26000000.0,0.682
24,27000000.0,0.686
25,28000000.0,0.685
26,29000000.0,0.69
27,30000000.0,0.688
28,32000000.0,0.695
29,34000000.0,0.692
30,36000000.0,0.696
31,38000000.0,0.694
32,40000000.0,0.698
33,42000000.0,0.694
34,44000000.0,0.673
35,46000000.0,0.662
36,48000000.0,0.659
37,50000000.0,0.664
38,52000000.0,0.656
39,54000000.0,0.655
40,56000000.0,0.656
41,58000000.0,0.658
42,60000000.0,0.651
