,x,y
0,1e-05,0.568
1,1000.0,0.566
2,2000.0,0.563
3,5000.0,0.558
4,10000.0,0.553
5,20000.0,0.549
6,50000.0,0.543
7,100000.0,0.532
8,200000.0,0.515
9,300000.0,0.502
10,400000.0,0.482
11,500000.0,0.469
12,600000.0,0.458
13,700000.0,0.448
14,800000.0,0.439
15,900000.0,0.431
16,1000000.0,0.423
17,1200000.0,0.425
18,1400000.0,0.421
19,1600000.0,0.417
20,1800000.0,0.436
21,2000000.0,0.438
22,2200000.0,0.437
23,2400000.0,0.432
24,2600000.0,0.425
25,2800000.0,0.417
26,3000000.0,0.408
27,3200000.0,0.399
28,3400000.0,0.392
29,3600000.0,0.386
30,3800000.0,0.383
31,4000000.0,0.378
32,4200000.0,0.375
33,4400000.0,0.374
34,4600000.0,0.373
35,4800000.0,0.371
36,5000000.0,0.372
37,5200000.0,0.37
38,5400000.0,0.37
39,5600000.0,0.369
40,5800000.0,0.369
41,6000000.0,0.369
42,6200000.0,0.368
43,6400000.0,0.368
44,6600000.0,0.369
45,6800000.0,0.369
46,7000000.0,0.373
47,7200000.0,0.374
48,7400000.0,0.376
49,7600000.0,0.382
50,7800000.0,0.388
51,8000000.0,0.396
52,8500000.0,0.414
53,9000000.0,0.429
54,9500000.0,0.437
55,10000000.0,0.44
56,10500000.0,0.438
57,11000000.0,0.433
58,11500000.0,0.425
59,12000000.0,0.417
60,12500000.0,0.407
61,13000000.0,0.399
62,13500000.0,0.385
63,14000000.0,0.376
64,14500000.0,0.367
65,15000000.0,0.352
66,16000000.0,0.334
67,17000000.0,0.327
68,18000000.0,0.329
69,19000000.0,0.332
70,20000000.0,0.336
71,22000000.0,0.339
72,23000000.0,0.338
73,24000000.0,0.341
74,25000000.0,0.337
75,26000000.0,0.338
76,27000000.0,0.339
77,28000000.0,0.336
78,29000000.0,0.335
79,30000000.0,0.335
80,32000000.0,0.332
81,34000000.0,0.332
82,36000000.0,0.315
83,38000000.0,0.315
84,40000000.0,0.315
85,42000000.0,0.31
86,44000000.0,0.313
87,46000000.0,0.312
88,48000000.0,0.306
89,50000000.0,0.307
90,52000000.0,0.307
91,54000000.0,0.308
92,56000000.0,0.305
93,58000000.0,0.302
94,60000000.0,0.3
