,x,y
0,1e-05,0.741
1,33555.93,0.74
2,67062.17,0.739
3,112514.3,0.738
4,149423.4,0.737
5,194323.0,0.736
6,283238.5,0.733
7,370094.8,0.731
8,400564.8,0.73
9,424977.9,0.729
10,461597.7,0.728
11,496867.6,0.727
12,535306.4,0.726
13,566057.5,0.725
14,596808.6,0.724
15,654910.2,0.723
16,700907.2,0.722
17,1000000.0,0.713
18,1124700.0,0.709
19,1236200.0,0.706
20,1357800.0,0.703
21,1567837.0,0.697
22,1600000.0,0.696
23,1727559.0,0.692
24,1878339.0,0.688
25,2000000.0,0.685
26,2151153.0,0.68
27,2286409.0,0.677
28,2447066.0,0.672
29,2631747.0,0.667
30,2871853.0,0.66
31,3000000.0,0.656
32,3197808.0,0.651
33,3381560.0,0.645
34,3550984.0,0.641
35,3776192.0,0.634
36,3975624.0,0.629
37,4210140.0,0.622
38,4395061.0,0.617
39,4687782.0,0.608
40,5000000.0,0.6
41,5078651.0,0.597
42,5155204.0,0.595
43,5228877.0,0.593
44,5300485.0,0.591
45,5369308.0,0.589
46,5436117.0,0.587
47,5500250.0,0.585
48,5562436.0,0.584
49,5642929.0,0.581
50,5719449.0,0.579
51,5792128.0,0.577
52,5861104.0,0.575
53,5926514.0,0.573
54,6018724.0,0.571
55,6102752.0,0.568
56,6180884.0,0.566
57,6229147.0,0.565
58,6320657.0,0.562
59,6401831.0,0.56
60,6473713.0,0.558
61,6565274.0,0.555
62,6642902.0,0.553
63,6730431.0,0.55
64,6825493.0,0.548
65,6912196.0,0.545
66,7000000.0,0.543
67,7157798.0,0.538
68,7463319.0,0.53
69,7741328.0,0.522
70,7993069.0,0.515
71,8321368.0,0.505
72,8606482.0,0.497
73,8935508.0,0.488
74,9302007.0,0.477
75,9644691.0,0.468
76,10000000.0,0.458
77,11875000.0,0.404
78,15000000.0,0.33
79,22000000.0,0.332
80,23000000.0,0.331
81,24000000.0,0.333
82,25000000.0,0.332
83,26000000.0,0.333
84,28000000.0,0.332
85,29000000.0,0.333
86,30000000.0,0.334
87,32000000.0,0.333
88,34000000.0,0.329
89,38000000.0,0.33
90,40000000.0,0.328
91,42000000.0,0.329
92,44000000.0,0.33
93,46000000.0,0.329
94,50000000.0,0.331
95,54000000.0,0.329
96,56000000.0,0.332
97,58000000.0,0.334
98,60000000.0,0.335
