,x,y
0,1e-05,0.042
1,20000.0,0.055
2,50000.0,0.092
3,100000.0,0.129
4,200000.0,0.178
5,300000.0,0.207
6,400000.0,0.232
7,500000.0,0.256
8,600000.0,0.277
9,700000.0,0.296
10,800000.0,0.312
11,900000.0,0.327
12,1000000.0,0.34
13,1200000.0,0.392
14,1400000.0,0.403
15,1600000.0,0.409
16,1800000.0,0.42
17,2000000.0,0.434
18,2200000.0,0.355
19,2400000.0,0.287
20,2600000.0,0.298
21,2800000.0,0.326
22,3000000.0,0.343
23,3200000.0,0.358
24,3400000.0,0.372
25,3600000.0,0.384
26,3800000.0,0.395
27,4000000.0,0.404
28,4200000.0,0.411
29,4400000.0,0.418
30,4600000.0,0.423
31,4800000.0,0.426
32,5000000.0,0.43
33,5400000.0,0.435
34,5600000.0,0.437
35,5800000.0,0.439
36,6000000.0,0.44
37,6200000.0,0.438
38,6400000.0,0.44
39,6600000.0,0.443
40,6800000.0,0.44
41,7200000.0,0.429
42,7600000.0,0.428
43,7800000.0,0.419
44,8000000.0,0.417
45,8500000.0,0.399
46,9000000.0,0.387
47,9500000.0,0.383
48,10000000.0,0.388
49,10500000.0,0.4
50,11000000.0,0.417
51,11500000.0,0.436
52,12000000.0,0.456
53,12500000.0,0.475
54,13000000.0,0.493
55,13500000.0,0.512
56,14000000.0,0.53
57,14500000.0,0.551
58,15000000.0,0.569
59,16000000.0,0.599
60,17000000.0,0.614
61,18000000.0,0.617
62,19000000.0,0.612
63,20000000.0,0.603
64,21000000.0,0.599
65,22000000.0,0.597
66,23000000.0,0.591
67,24000000.0,0.593
68,25000000.0,0.586
69,26000000.0,0.583
70,27000000.0,0.586
71,28000000.0,0.58
72,30000000.0,0.578
73,34000000.0,0.571
74,36000000.0,0.572
75,38000000.0,0.571
76,42000000.0,0.573
77,44000000.0,0.564
78,46000000.0,0.569
79,48000000.0,0.573
80,50000000.0,0.564
81,52000000.0,0.562
82,54000000.0,0.56
83,56000000.0,0.564
84,58000000.0,0.572
85,60000000.0,0.563
