,x,y
0,1e-05,0.75
1,19894.1,0.749
2,47203.59,0.748
3,100086.8,0.747
4,149677.1,0.745
5,200025.4,0.743
6,250144.8,0.741
7,298176.1,0.74
8,350000.0,0.738
9,400000.0,0.736
10,450000.0,0.734
11,501110.7,0.732
12,603612.8,0.729
13,704780.7,0.725
14,799000.0,0.722
15,1000000.0,0.715
16,1500000.0,0.697
17,2000000.0,0.68
18,2500000.0,0.662
19,3000000.0,0.645
20,4000000.0,0.609
21,5000000.0,0.574
22,6000000.0,0.539
23,7000000.0,0.504
24,8000000.0,0.469
25,10000000.0,0.398
26,12500000.0,0.31
27,14000000.0,0.258
28,15000000.0,0.24
29,21000000.0,0.243
30,22000000.0,0.248
31,23000000.0,0.251
32,24000000.0,0.256
33,25000000.0,0.258
34,26000000.0,0.261
35,27000000.0,0.262
36,28000000.0,0.264
37,29000000.0,0.265
38,32000000.0,0.267
39,36000000.0,0.268
40,40000000.0,0.269
41,42000000.0,0.27
42,44000000.0,0.269
43,46000000.0,0.271
44,50000000.0,0.27
45,52000000.0,0.271
46,54000000.0,0.272
47,60000000.0,0.272
