,x,y
0,1e-05,0.006
1,100000.0,0.007
2,465000.0,0.008
3,1000000.0,0.009
4,1500000.0,0.011
5,2150000.0,0.013
6,3000000.0,0.015
7,4650000.0,0.02
8,7000000.0,0.027
9,10000000.0,0.036
10,12000000.0,0.042
11,13000000.0,0.045
12,14000000.0,0.048
13,15000000.0,0.05
14,22000000.0,0.051
15,25000000.0,0.052
16,26000000.0,0.053
17,27000000.0,0.054
18,29000000.0,0.055
19,32000000.0,0.056
20,34000000.0,0.058
21,38000000.0,0.059
22,40000000.0,0.06
23,42000000.0,0.059
24,44000000.0,0.06
25,58000000.0,0.058
26,60000000.0,0.059
