,x,y
0,1e-05,0.42
1,46500.0,0.419
2,100000.0,0.418
3,215000.0,0.417
4,300000.0,0.415
5,465000.0,0.413
6,700000.0,0.409
7,1000000.0,0.404
8,1500000.0,0.396
9,2150000.0,0.386
10,3000000.0,0.372
11,4650000.0,0.346
12,7000000.0,0.309
13,10000000.0,0.261
14,12000000.0,0.23
15,13000000.0,0.214
16,14000000.0,0.198
17,15000000.0,0.19
18,21000000.0,0.192
19,22000000.0,0.193
20,23000000.0,0.195
21,24000000.0,0.197
22,25000000.0,0.198
23,26000000.0,0.201
24,27000000.0,0.202
25,28000000.0,0.204
26,29000000.0,0.207
27,30000000.0,0.209
28,32000000.0,0.213
29,34000000.0,0.218
30,36000000.0,0.223
31,38000000.0,0.227
32,40000000.0,0.231
33,42000000.0,0.236
34,44000000.0,0.24
35,46000000.0,0.243
36,48000000.0,0.247
37,50000000.0,0.252
38,52000000.0,0.254
39,54000000.0,0.256
40,56000000.0,0.26
41,58000000.0,0.265
42,60000000.0,0.266
