,x,y
0,1e-05,0.889
1,20203.67,0.888
2,69260.87,0.887
3,114838.2,0.886
4,176970.9,0.885
5,203138.1,0.884
6,250000.0,0.883
7,298676.9,0.882
8,350668.9,0.881
9,396654.3,0.88
10,448142.1,0.879
11,500000.0,0.878
12,532451.2,0.877
13,564902.5,0.876
14,597353.8,0.875
15,680899.9,0.874
16,701337.9,0.873
17,800000.0,0.871
18,1000000.0,0.866
19,1500000.0,0.855
20,2000000.0,0.844
21,2076435.0,0.842
22,2152870.0,0.84
23,2234850.0,0.838
24,2326153.0,0.836
25,2411510.0,0.834
26,2500000.0,0.832
27,2583259.0,0.83
28,2655070.0,0.829
29,2737394.0,0.827
30,2828433.0,0.825
31,2912954.0,0.823
32,3000000.0,0.821
33,3080280.0,0.819
34,3155830.0,0.817
35,3225253.0,0.816
36,3290295.0,0.814
37,3371615.0,0.812
38,3444417.0,0.811
39,3538225.0,0.809
40,3618698.0,0.807
41,3710473.0,0.805
42,3807554.0,0.803
43,3875198.0,0.801
44,3978980.0,0.799
45,4000000.0,0.798
46,4113142.0,0.796
47,4214764.0,0.793
48,4346158.0,0.79
49,4459272.0,0.788
50,4588709.0,0.785
51,4726126.0,0.782
52,4822172.0,0.78
53,4970004.0,0.776
54,5115259.0,0.773
55,5218289.0,0.771
56,5350832.0,0.768
57,5464350.0,0.765
58,5593603.0,0.762
59,5730099.0,0.759
60,5825070.0,0.757
61,5970557.0,0.754
62,6000000.0,0.753
63,6168517.0,0.749
64,6313191.0,0.746
65,6478302.0,0.742
66,6653097.0,0.738
67,6774972.0,0.735
68,6924172.0,0.732
69,7169989.0,0.726
70,7315431.0,0.723
71,7480876.0,0.719
72,7662292.0,0.715
73,7829325.0,0.711
74,8000000.0,0.707
75,8226285.0,0.702
76,8429528.0,0.698
77,8692316.0,0.692
78,8918545.0,0.687
79,9177418.0,0.681
80,9452253.0,0.675
81,9761468.0,0.668
82,10140440.0,0.659
83,10409110.0,0.653
84,10650020.0,0.647
85,10967390.0,0.64
86,11148180.0,0.636
87,11471770.0,0.629
88,11815320.0,0.621
89,12055430.0,0.615
90,12425010.0,0.607
91,12500000.0,0.605
92,12859220.0,0.597
93,13135390.0,0.591
94,13560800.0,0.581
95,14000000.0,0.571
96,14871750.0,0.56
97,21000000.0,0.559
98,22000000.0,0.56
99,24000000.0,0.561
100,25000000.0,0.559
101,26000000.0,0.56
102,27000000.0,0.557
103,29000000.0,0.556
104,30000000.0,0.553
105,32000000.0,0.55
106,34000000.0,0.542
107,36000000.0,0.539
108,38000000.0,0.537
109,40000000.0,0.536
110,42000000.0,0.535
111,44000000.0,0.531
112,46000000.0,0.532
113,48000000.0,0.529
114,50000000.0,0.53
115,52000000.0,0.529
116,54000000.0,0.527
117,56000000.0,0.528
118,60000000.0,0.527
