,x,y
0,1e-05,0.3
1,7.798001,0.048
2,1000.0,0.287
3,2000.0,0.282
4,5000.0,0.271
5,10000.0,0.263
6,20000.0,0.259
7,50000.0,0.26
8,100000.0,0.267
9,200000.0,0.272
10,300000.0,0.276
11,400000.0,0.279
12,500000.0,0.282
13,800000.0,0.281
14,900000.0,0.28
15,1000000.0,0.282
16,1200000.0,0.29
17,1400000.0,0.288
18,1600000.0,0.285
19,1800000.0,0.284
20,2000000.0,0.287
21,2200000.0,0.294
22,2400000.0,0.303
23,2600000.0,0.314
24,2800000.0,0.328
25,3000000.0,0.345
26,3200000.0,0.365
27,3400000.0,0.387
28,3600000.0,0.411
29,3800000.0,0.436
30,4000000.0,0.46
31,4200000.0,0.484
32,4400000.0,0.505
33,4600000.0,0.524
34,4800000.0,0.54
35,5000000.0,0.553
36,5200000.0,0.563
37,5400000.0,0.57
38,5600000.0,0.574
39,5800000.0,0.575
40,6000000.0,0.572
41,6200000.0,0.567
42,6400000.0,0.56
43,6600000.0,0.55
44,6800000.0,0.541
45,7000000.0,0.528
46,7200000.0,0.516
47,7400000.0,0.507
48,7600000.0,0.497
49,7800000.0,0.492
50,8000000.0,0.488
51,8500000.0,0.487
52,9000000.0,0.493
53,9500000.0,0.502
54,10000000.0,0.513
55,10500000.0,0.525
56,11000000.0,0.536
57,11500000.0,0.548
58,12000000.0,0.559
59,12500000.0,0.571
60,13000000.0,0.581
61,13500000.0,0.592
62,14000000.0,0.602
63,14500000.0,0.612
64,16000000.0,0.613
65,17000000.0,0.614
66,18000000.0,0.616
67,19000000.0,0.617
68,20000000.0,0.618
69,21000000.0,0.619
70,22000000.0,0.62
71,24000000.0,0.621
72,27000000.0,0.622
73,28000000.0,0.623
74,30000000.0,0.624
75,32000000.0,0.625
76,34000000.0,0.626
77,36000000.0,0.627
78,38000000.0,0.629
79,40000000.0,0.63
80,44000000.0,0.632
81,46000000.0,0.633
82,48000000.0,0.632
83,50000000.0,0.634
84,52000000.0,0.635
85,60000000.0,0.638
