,x,y
0,1e-05,0.87
1,29375.0,0.869
2,75000.0,0.868
3,122715.9,0.867
4,168959.3,0.866
5,225793.7,0.865
6,284412.0,0.864
7,327378.4,0.863
8,378828.0,0.862
9,425330.4,0.861
10,464214.3,0.86
11,517323.6,0.859
12,560000.0,0.858
13,596345.4,0.857
14,705381.6,0.855
15,751162.6,0.854
16,796943.7,0.853
17,888505.7,0.851
18,916379.3,0.85
19,1000000.0,0.849
20,1028000.0,0.848
21,1090000.0,0.847
22,1158500.0,0.845
23,1227000.0,0.844
24,1296000.0,0.842
25,1382000.0,0.841
26,1450000.0,0.839
27,1550000.0,0.837
28,1700000.0,0.834
29,1800000.0,0.832
30,1900000.0,0.829
31,2000000.0,0.827
32,2600000.0,0.814
33,2700000.0,0.812
34,2800000.0,0.81
35,2900000.0,0.808
36,3000000.0,0.806
37,3100000.0,0.804
38,3200000.0,0.802
39,3300000.0,0.8
40,3400000.0,0.797
41,3500000.0,0.795
42,3600000.0,0.793
43,3700000.0,0.791
44,3800000.0,0.789
45,3900000.0,0.787
46,4000000.0,0.785
47,4200000.0,0.78
48,4400000.0,0.776
49,4600000.0,0.772
50,4800000.0,0.767
51,5000000.0,0.763
52,5200000.0,0.759
53,5400000.0,0.755
54,5600000.0,0.75
55,5800000.0,0.746
56,6000000.0,0.742
57,6200000.0,0.738
58,6400000.0,0.733
59,6600000.0,0.729
60,6800000.0,0.725
61,7000000.0,0.72
62,7124000.0,0.718
63,7300000.0,0.714
64,7500000.0,0.71
65,7700000.0,0.705
66,7900000.0,0.701
67,8097000.0,0.697
68,8200000.0,0.695
69,8400000.0,0.69
70,8600000.0,0.686
71,8800000.0,0.682
72,9000000.0,0.678
73,9200000.0,0.673
74,9400000.0,0.669
75,9600000.0,0.665
76,9800000.0,0.661
77,10200000.0,0.652
78,10500000.0,0.646
79,10800000.0,0.639
80,11100000.0,0.633
81,11200000.0,0.631
82,11600000.0,0.622
83,12000000.0,0.613
84,12400000.0,0.605
85,12800000.0,0.596
86,13100000.0,0.59
87,13400000.0,0.584
88,13600000.0,0.579
89,15750000.0,0.56
90,21000000.0,0.564
91,22000000.0,0.566
92,23000000.0,0.57
93,24000000.0,0.572
94,25000000.0,0.576
95,26000000.0,0.58
96,27000000.0,0.582
97,28000000.0,0.585
98,29000000.0,0.589
99,30000000.0,0.591
100,32000000.0,0.597
101,34000000.0,0.602
102,36000000.0,0.606
103,38000000.0,0.612
104,40000000.0,0.614
105,42000000.0,0.619
106,44000000.0,0.624
107,46000000.0,0.625
108,48000000.0,0.628
109,50000000.0,0.632
110,52000000.0,0.635
111,54000000.0,0.636
112,56000000.0,0.637
113,58000000.0,0.639
114,60000000.0,0.642
