,x,y
0,1e-05,0.917
1,42057.61,0.916
2,90000.0,0.915
3,128080.2,0.914
4,170598.9,0.913
5,214888.1,0.912
6,300000.0,0.91
7,358412.2,0.909
8,402408.6,0.908
9,507992.6,0.905
10,540000.0,0.904
11,583767.9,0.903
12,645043.0,0.902
13,690543.0,0.901
14,701028.7,0.9
15,800187.5,0.898
16,895750.0,0.895
17,1000000.0,0.893
18,1131000.0,0.89
19,1188000.0,0.888
20,1231000.0,0.887
21,1274000.0,0.886
22,1388000.0,0.883
23,1508961.0,0.88
24,1646000.0,0.877
25,1728000.0,0.875
26,1774000.0,0.874
27,1821000.0,0.873
28,1867000.0,0.871
29,1913000.0,0.87
30,1959000.0,0.869
31,2100000.0,0.866
32,2495513.0,0.856
33,2616588.0,0.853
34,2742516.0,0.85
35,2831834.0,0.848
36,2971432.0,0.844
37,3084258.0,0.841
38,3156595.0,0.84
39,3239151.0,0.838
40,3302482.0,0.836
41,3399807.0,0.834
42,3500000.0,0.831
43,3558910.0,0.83
44,3634418.0,0.828
45,3698845.0,0.826
46,3771939.0,0.825
47,3848829.0,0.823
48,3934499.0,0.821
49,4000000.0,0.819
50,4059327.0,0.817
51,4135201.0,0.816
52,4199793.0,0.814
53,4272913.0,0.812
54,4349651.0,0.81
55,4402762.0,0.809
56,4483675.0,0.807
57,4559657.0,0.805
58,4612506.0,0.804
59,4679850.0,0.802
60,4736969.0,0.801
61,4801401.0,0.799
62,4868763.0,0.797
63,4943328.0,0.796
64,5000000.0,0.794
65,5059925.0,0.793
66,5112948.0,0.791
67,5180432.0,0.79
68,5237596.0,0.788
69,5301999.0,0.787
70,5369245.0,0.785
71,5415582.0,0.784
72,5485858.0,0.782
73,5560147.0,0.78
74,5613315.0,0.779
75,5680912.0,0.777
76,5738114.0,0.776
77,5802494.0,0.774
78,5869642.0,0.773
79,5915870.0,0.772
80,5971825.0,0.77
81,6060333.0,0.768
82,6113623.0,0.767
83,6181316.0,0.765
84,6238549.0,0.764
85,6302909.0,0.762
86,6369975.0,0.76
87,6416111.0,0.759
88,6471916.0,0.758
89,6560492.0,0.756
90,6613885.0,0.754
91,6681660.0,0.753
92,6738919.0,0.751
93,6803262.0,0.75
94,6870259.0,0.748
95,6916317.0,0.747
96,6971994.0,0.746
97,7060630.0,0.743
98,7114112.0,0.742
99,7181957.0,0.74
100,7239238.0,0.739
101,7303566.0,0.737
102,7370503.0,0.736
103,7416493.0,0.735
104,7472060.0,0.733
105,7560750.0,0.731
106,7614309.0,0.73
107,7682216.0,0.728
108,7739516.0,0.727
109,7803831.0,0.725
110,7870715.0,0.723
111,7916647.0,0.722
112,7972119.0,0.721
113,8060855.0,0.719
114,8114483.0,0.717
115,8182443.0,0.716
116,8239760.0,0.714
117,8304064.0,0.713
118,8370902.0,0.711
119,8416782.0,0.71
120,8472170.0,0.709
121,8530420.0,0.707
122,8587750.0,0.706
123,8638231.0,0.705
124,8703449.0,0.703
125,8772064.0,0.701
126,8828501.0,0.7
127,8889372.0,0.698
128,8944515.0,0.697
129,9030464.0,0.695
130,9087863.0,0.693
131,9162059.0,0.692
132,9221885.0,0.69
133,9272256.0,0.689
134,9328675.0,0.688
135,9389505.0,0.686
136,9444591.0,0.685
137,9500000.0,0.683
138,10000000.0,0.671
139,10999850.0,0.646
140,11500000.0,0.634
141,12000000.0,0.622
142,12500000.0,0.609
143,13000000.0,0.597
144,13500000.0,0.585
145,14000000.0,0.572
146,14500000.0,0.56
147,60000000.0,0.56
