,x,y
0,1e-05,0.25
1,21663.83,0.251
2,65677.33,0.252
3,110703.2,0.253
4,150230.4,0.254
5,200102.3,0.255
6,238358.2,0.256
7,282991.0,0.257
8,317485.8,0.258
9,356458.3,0.259
10,421633.4,0.26
11,503728.5,0.262
12,582797.5,0.264
13,690679.7,0.267
14,755806.5,0.268
15,799224.4,0.269
16,842642.3,0.27
17,897109.4,0.272
18,937959.7,0.273
19,1006043.0,0.274
20,1060511.0,0.276
21,1116453.0,0.277
22,1167819.0,0.278
23,1235796.0,0.28
24,1295722.0,0.281
25,1365884.0,0.283
26,1445279.0,0.285
27,1520673.0,0.287
28,1600000.0,0.289
29,1727559.0,0.292
30,1820313.0,0.294
31,1938215.0,0.297
32,2151153.0,0.302
33,2286409.0,0.305
34,2447066.0,0.309
35,2624576.0,0.313
36,2752933.0,0.316
37,2957637.0,0.321
38,3000000.0,0.322
39,3288400.0,0.329
40,3550984.0,0.336
41,3868156.0,0.343
42,4239487.0,0.352
43,4604067.0,0.361
44,5000000.0,0.371
45,5106261.0,0.373
46,5207931.0,0.376
47,5351246.0,0.379
48,5486213.0,0.382
49,5610313.0,0.385
50,5726649.0,0.388
51,5872192.0,0.392
52,6002574.0,0.395
53,6170687.0,0.399
54,6315005.0,0.402
55,6479698.0,0.406
56,6654038.0,0.411
57,6775588.0,0.414
58,6962191.0,0.418
59,7000000.0,0.419
60,7319152.0,0.427
61,7913081.0,0.441
62,8576089.0,0.457
63,9059715.0,0.469
64,9838100.0,0.487
65,10000000.0,0.491
66,12093060.0,0.542
67,15000000.0,0.6
68,21000000.0,0.597
69,22000000.0,0.599
70,23000000.0,0.595
71,25000000.0,0.6
72,26000000.0,0.596
73,27000000.0,0.599
74,28000000.0,0.597
75,32000000.0,0.596
76,34000000.0,0.597
77,36000000.0,0.598
78,40000000.0,0.597
79,46000000.0,0.594
80,52000000.0,0.588
81,54000000.0,0.585
82,56000000.0,0.591
83,58000000.0,0.59
84,60000000.0,0.577
