,x,y
0,1e-05,0.5
1,30000.0,0.501
2,100000.0,0.502
3,150000.0,0.503
4,215000.0,0.504
5,300000.0,0.505
6,465000.0,0.508
7,700000.0,0.513
8,1000000.0,0.518
9,1500000.0,0.527
10,2150000.0,0.539
11,3000000.0,0.554
12,4650000.0,0.583
13,7000000.0,0.626
14,10000000.0,0.679
15,12000000.0,0.715
16,13000000.0,0.733
17,14000000.0,0.751
18,15000000.0,0.76
19,21000000.0,0.761
20,23000000.0,0.762
21,27000000.0,0.761
22,28000000.0,0.762
23,29000000.0,0.761
24,30000000.0,0.76
25,32000000.0,0.759
26,34000000.0,0.757
27,36000000.0,0.755
28,38000000.0,0.751
29,40000000.0,0.749
30,42000000.0,0.746
31,44000000.0,0.743
32,46000000.0,0.736
33,48000000.0,0.733
34,50000000.0,0.729
35,52000000.0,0.728
36,54000000.0,0.726
37,56000000.0,0.723
38,58000000.0,0.721
39,60000000.0,0.718
