,x,y
0,1e-05,0.5
1,30000.0,0.501
2,100000.0,0.502
3,150000.0,0.503
4,215000.0,0.504
5,300000.0,0.505
6,465000.0,0.508
7,700000.0,0.513
8,1000000.0,0.518
9,1500000.0,0.527
10,2150000.0,0.539
11,3000000.0,0.554
12,4650000.0,0.583
13,7000000.0,0.626
14,10000000.0,0.679
15,12000000.0,0.715
16,13000000.0,0.733
17,14000000.0,0.751
18,15000000.0,0.76
19,21000000.0,0.755
20,22000000.0,0.749
21,23000000.0,0.745
22,24000000.0,0.741
23,25000000.0,0.739
24,26000000.0,0.737
25,27000000.0,0.735
26,28000000.0,0.734
27,29000000.0,0.732
28,30000000.0,0.733
29,32000000.0,0.73
30,36000000.0,0.729
31,38000000.0,0.728
32,40000000.0,0.727
33,42000000.0,0.728
34,44000000.0,0.727
35,46000000.0,0.726
36,48000000.0,0.727
37,50000000.0,0.726
38,54000000.0,0.725
39,60000000.0,0.725
