,x,y
0,1e-05,0.096
1,30000.0,0.097
2,100000.0,0.098
3,150000.0,0.099
4,215000.0,0.1
5,300000.0,0.102
6,465000.0,0.105
7,700000.0,0.11
8,1000000.0,0.116
9,1500000.0,0.125
10,2150000.0,0.138
11,3000000.0,0.155
12,4650000.0,0.187
13,7000000.0,0.233
14,10000000.0,0.292
15,12000000.0,0.331
16,13000000.0,0.351
17,14000000.0,0.37
18,15000000.0,0.38
19,21000000.0,0.381
20,22000000.0,0.389
21,23000000.0,0.392
22,24000000.0,0.4
23,25000000.0,0.401
24,26000000.0,0.41
25,28000000.0,0.416
26,29000000.0,0.419
27,30000000.0,0.42
28,32000000.0,0.427
29,34000000.0,0.433
30,36000000.0,0.439
31,38000000.0,0.44
32,40000000.0,0.446
33,42000000.0,0.447
34,44000000.0,0.448
35,46000000.0,0.452
36,48000000.0,0.449
37,50000000.0,0.447
38,52000000.0,0.456
39,54000000.0,0.453
40,56000000.0,0.449
41,58000000.0,0.448
42,60000000.0,0.461
