,x,y
0,1e-05,0.055
1,1000.0,0.059
2,2000.0,0.063
3,5000.0,0.071
4,10000.0,0.078
5,20000.0,0.086
6,50000.0,0.105
7,100000.0,0.128
8,200000.0,0.159
9,300000.0,0.186
10,400000.0,0.208
11,500000.0,0.225
12,600000.0,0.241
13,700000.0,0.262
14,800000.0,0.289
15,900000.0,0.316
16,1000000.0,0.346
17,1200000.0,0.376
18,1400000.0,0.334
19,1600000.0,0.304
20,1800000.0,0.308
21,2000000.0,0.312
22,2200000.0,0.315
23,2400000.0,0.322
24,2600000.0,0.329
25,2800000.0,0.336
26,3000000.0,0.344
27,3200000.0,0.35
28,3400000.0,0.356
29,3600000.0,0.36
30,3800000.0,0.366
31,4000000.0,0.372
32,4200000.0,0.375
33,4600000.0,0.378
34,4800000.0,0.38
35,5000000.0,0.377
36,5200000.0,0.376
37,5400000.0,0.371
38,5600000.0,0.37
39,5800000.0,0.365
40,6000000.0,0.362
41,6200000.0,0.349
42,6400000.0,0.346
43,6600000.0,0.33
44,6800000.0,0.323
45,7000000.0,0.311
46,7200000.0,0.29
47,7400000.0,0.285
48,7600000.0,0.271
49,7800000.0,0.262
50,8000000.0,0.255
51,8500000.0,0.242
52,9000000.0,0.244
53,9500000.0,0.255
54,10000000.0,0.271
55,10500000.0,0.289
56,11000000.0,0.308
57,11500000.0,0.328
58,12000000.0,0.346
59,12500000.0,0.368
60,13000000.0,0.386
61,13500000.0,0.408
62,14000000.0,0.424
63,14500000.0,0.428
64,15000000.0,0.437
65,16000000.0,0.425
66,17000000.0,0.419
67,18000000.0,0.412
68,19000000.0,0.408
69,20000000.0,0.409
70,21000000.0,0.405
71,23000000.0,0.406
72,24000000.0,0.408
73,25000000.0,0.404
74,26000000.0,0.412
75,27000000.0,0.414
76,28000000.0,0.41
77,29000000.0,0.415
78,30000000.0,0.423
79,32000000.0,0.42
80,34000000.0,0.43
81,36000000.0,0.408
82,38000000.0,0.413
83,40000000.0,0.408
84,42000000.0,0.418
85,44000000.0,0.422
86,46000000.0,0.415
87,48000000.0,0.411
88,50000000.0,0.425
89,52000000.0,0.429
90,54000000.0,0.422
91,56000000.0,0.412
92,60000000.0,0.413
