,x,y
0,1e-05,0.0
1,10000.0,0.0
2,24500.0,0.0
3,70000.0,0.0
4,100000.0,0.0
5,150000.0,0.0
6,215000.0,0.0
7,300000.0,0.0
8,465000.0,0.0
9,700000.0,0.0
10,1000000.0,0.0
11,1500000.0,0.0
12,2150000.0,0.001
13,3000000.0,0.001
14,4650000.0,0.001
15,7000000.0,0.001
16,10000000.0,0.001
17,12000000.0,0.002
18,13000000.0,0.002
19,14000000.0,0.002
20,15000000.0,0.002
21,21000000.0,0.002
22,22000000.0,0.002
23,23000000.0,0.002
24,24000000.0,0.002
25,32000000.0,0.002
26,34000000.0,0.002
27,36000000.0,0.002
28,38000000.0,0.002
29,40000000.0,0.002
30,44000000.0,0.002
31,46000000.0,0.002
32,48000000.0,0.002
33,54000000.0,0.002
34,56000000.0,0.002
35,58000000.0,0.002
36,60000000.0,0.002
