,x,y
0,1e-05,0.071
1,7000.0,0.072
2,47000.0,0.073
3,100000.0,0.074
4,150000.0,0.075
5,220000.0,0.077
6,300000.0,0.079
7,470000.0,0.083
8,700000.0,0.089
9,1000000.0,0.097
10,1500000.0,0.11
11,2200000.0,0.127
12,3000000.0,0.148
13,4700000.0,0.191
14,7000000.0,0.249
15,10000000.0,0.326
16,12000000.0,0.376
17,13000000.0,0.402
18,14000000.0,0.427
19,15000000.0,0.44
20,21000000.0,0.448
21,22000000.0,0.447
22,24000000.0,0.445
23,25000000.0,0.448
24,26000000.0,0.447
25,27000000.0,0.449
26,29000000.0,0.451
27,32000000.0,0.454
28,34000000.0,0.451
29,36000000.0,0.461
30,38000000.0,0.458
31,40000000.0,0.461
32,42000000.0,0.459
33,44000000.0,0.463
34,46000000.0,0.458
35,48000000.0,0.463
36,50000000.0,0.465
37,52000000.0,0.458
38,54000000.0,0.461
39,56000000.0,0.467
40,58000000.0,0.462
41,60000000.0,0.459
