,x,y
0,1e-05,0.324
1,269967.6,0.323
2,396833.0,0.321
3,499854.9,0.319
4,600000.0,0.317
5,697353.8,0.315
6,900000.0,0.311
7,950000.0,0.31
8,1000000.0,0.309
9,1097656.0,0.308
10,1101562.0,0.307
11,1250000.0,0.305
12,1400000.0,0.302
13,1550000.0,0.299
14,1650000.0,0.297
15,1750000.0,0.295
16,1850000.0,0.293
17,2000000.0,0.29
18,2250000.0,0.285
19,2550000.0,0.28
20,2600000.0,0.279
21,2875000.0,0.273
22,3000000.0,0.271
23,4000000.0,0.252
24,4500000.0,0.242
25,5000000.0,0.233
26,5500000.0,0.223
27,6000000.0,0.213
28,6500000.0,0.204
29,7000000.0,0.194
30,7500000.0,0.185
31,8000000.0,0.175
32,9000000.0,0.156
33,10000000.0,0.136
34,10500000.0,0.127
35,11000000.0,0.117
36,11250000.0,0.112
37,11500000.0,0.108
38,12015620.0,0.098
39,13000000.0,0.079
40,14000000.0,0.06
41,14500000.0,0.05
42,21000000.0,0.055
43,22000000.0,0.054
44,26000000.0,0.053
45,27000000.0,0.055
46,29000000.0,0.054
47,32000000.0,0.056
48,34000000.0,0.055
49,38000000.0,0.059
50,40000000.0,0.058
51,42000000.0,0.057
52,44000000.0,0.056
53,46000000.0,0.059
54,50000000.0,0.058
55,52000000.0,0.057
56,54000000.0,0.056
57,56000000.0,0.055
58,58000000.0,0.059
59,60000000.0,0.059
