,x,y
0,1e-05,0.909
1,24000.0,0.908
2,70000.0,0.907
3,100000.0,0.906
4,150000.0,0.905
5,220000.0,0.903
6,300000.0,0.9
7,470000.0,0.895
8,700000.0,0.888
9,1000000.0,0.88
10,1500000.0,0.865
11,2200000.0,0.844
12,3000000.0,0.82
13,4700000.0,0.77
14,7000000.0,0.702
15,10000000.0,0.613
16,12000000.0,0.554
17,13000000.0,0.524
18,14000000.0,0.495
19,15000000.0,0.48
20,22000000.0,0.478
21,23000000.0,0.477
22,24000000.0,0.474
23,25000000.0,0.473
24,26000000.0,0.471
25,27000000.0,0.47
26,29000000.0,0.467
27,30000000.0,0.466
28,32000000.0,0.463
29,34000000.0,0.457
30,36000000.0,0.455
31,38000000.0,0.452
32,40000000.0,0.455
33,42000000.0,0.449
34,44000000.0,0.45
35,46000000.0,0.452
36,48000000.0,0.447
37,50000000.0,0.449
38,52000000.0,0.452
39,54000000.0,0.451
40,56000000.0,0.448
41,58000000.0,0.449
42,60000000.0,0.451
