,x,y
0,1e-05,0.118
1,47000.0,0.119
2,100000.0,0.12
3,150000.0,0.121
4,220000.0,0.122
5,300000.0,0.124
6,470000.0,0.128
7,700000.0,0.133
8,1000000.0,0.14
9,1500000.0,0.151
10,2200000.0,0.166
11,3000000.0,0.184
12,4700000.0,0.222
13,7000000.0,0.273
14,10000000.0,0.34
15,12000000.0,0.384
16,13000000.0,0.407
17,14000000.0,0.429
18,15000000.0,0.44
19,21000000.0,0.445
20,22000000.0,0.44
21,23000000.0,0.435
22,24000000.0,0.431
23,25000000.0,0.428
24,26000000.0,0.424
25,27000000.0,0.42
26,28000000.0,0.417
27,29000000.0,0.414
28,30000000.0,0.41
29,32000000.0,0.405
30,34000000.0,0.398
31,36000000.0,0.393
32,38000000.0,0.389
33,40000000.0,0.386
34,42000000.0,0.381
35,46000000.0,0.376
36,48000000.0,0.375
37,50000000.0,0.372
38,52000000.0,0.369
39,54000000.0,0.367
40,56000000.0,0.368
41,58000000.0,0.366
42,60000000.0,0.362
