,x,y
0,1e-05,0.13
1,24500.0,0.131
2,100000.0,0.132
3,150000.0,0.133
4,215000.0,0.135
5,300000.0,0.136
6,465000.0,0.14
7,700000.0,0.145
8,1000000.0,0.151
9,1500000.0,0.162
10,2150000.0,0.176
11,3000000.0,0.194
12,4650000.0,0.229
13,7000000.0,0.28
14,10000000.0,0.344
15,12000000.0,0.387
16,13000000.0,0.408
17,14000000.0,0.429
18,15000000.0,0.44
19,21000000.0,0.441
20,22000000.0,0.437
21,23000000.0,0.433
22,24000000.0,0.429
23,25000000.0,0.425
24,26000000.0,0.42
25,27000000.0,0.416
26,28000000.0,0.412
27,29000000.0,0.408
28,30000000.0,0.405
29,32000000.0,0.398
30,34000000.0,0.392
31,36000000.0,0.386
32,38000000.0,0.381
33,40000000.0,0.377
34,42000000.0,0.372
35,44000000.0,0.37
36,46000000.0,0.366
37,48000000.0,0.364
38,50000000.0,0.362
39,52000000.0,0.36
40,54000000.0,0.358
41,56000000.0,0.356
42,58000000.0,0.355
43,60000000.0,0.354
