,x,y
0,1e-05,0.881
1,247886.1,0.88
2,270955.1,0.879
3,312239.8,0.878
4,341297.7,0.877
5,403700.9,0.876
6,429902.0,0.875
7,456103.2,0.874
8,501955.3,0.873
9,558010.6,0.871
10,607515.5,0.87
11,640518.8,0.869
12,723661.3,0.867
13,806803.9,0.864
14,868100.3,0.863
15,929396.7,0.861
16,1051990.0,0.857
17,1149559.0,0.855
18,1264162.0,0.851
19,1377041.0,0.848
20,1500000.0,0.845
21,1600000.0,0.842
22,1775000.0,0.837
23,2000000.0,0.831
24,2300000.0,0.822
25,2700000.0,0.811
26,2850000.0,0.807
27,3000000.0,0.803
28,3127165.0,0.799
29,3263214.0,0.795
30,3379534.0,0.792
31,3500000.0,0.789
32,3610675.0,0.786
33,3766225.0,0.781
34,3920653.0,0.777
35,4000000.0,0.775
36,4119930.0,0.771
37,4261080.0,0.767
38,4296010.0,0.766
39,4383320.0,0.764
40,4512760.0,0.76
41,4581590.0,0.758
42,4669930.0,0.756
43,4804015.0,0.752
44,4941950.0,0.748
45,5000000.0,0.747
46,5082302.0,0.744
47,5264437.0,0.739
48,5392189.0,0.736
49,5538111.0,0.732
50,5698841.0,0.727
51,5847482.0,0.723
52,6000000.0,0.719
53,6220738.0,0.712
54,6407018.0,0.707
55,6612798.0,0.701
56,6803645.0,0.696
57,7117821.0,0.687
58,7328798.0,0.681
59,7561790.0,0.675
60,7777810.0,0.669
61,8000000.0,0.662
62,8330550.0,0.653
63,8563722.0,0.647
64,9000000.0,0.634
65,9424567.0,0.622
66,10000000.0,0.606
67,10999340.0,0.578
68,11241900.0,0.571
69,11614770.0,0.561
70,12000000.0,0.55
71,12120670.0,0.547
72,12211960.0,0.544
73,12350200.0,0.54
74,12490000.0,0.536
75,12615590.0,0.533
76,12806350.0,0.528
77,13000000.0,0.522
78,13105800.0,0.519
79,13243100.0,0.515
80,13366330.0,0.512
81,13490700.0,0.508
82,13616260.0,0.505
83,13782840.0,0.5
84,14000000.0,0.494
85,14123360.0,0.491
86,14247800.0,0.487
87,14373350.0,0.484
88,14500000.0,0.48
89,21000000.0,0.476
90,22000000.0,0.46
91,23000000.0,0.458
92,24000000.0,0.46
93,25000000.0,0.45
94,26000000.0,0.453
95,27000000.0,0.458
96,28000000.0,0.466
97,29000000.0,0.44
98,30000000.0,0.442
99,32000000.0,0.45
100,34000000.0,0.441
101,36000000.0,0.452
102,38000000.0,0.455
103,40000000.0,0.46
104,42000000.0,0.443
105,44000000.0,0.446
106,46000000.0,0.452
107,48000000.0,0.457
108,50000000.0,0.462
109,52000000.0,0.466
110,54000000.0,0.441
111,56000000.0,0.516
112,58000000.0,0.45
113,60000000.0,0.527
