,x,y
0,1e-05,0.444
1,300750.2,0.445
2,503098.1,0.446
3,705683.5,0.447
4,899112.1,0.448
5,1100000.0,0.449
6,1400000.0,0.45
7,1600000.0,0.452
8,2000000.0,0.454
9,2500000.0,0.456
10,3000000.0,0.459
11,4000000.0,0.464
12,5000000.0,0.47
13,6000000.0,0.475
14,8000000.0,0.485
15,10000000.0,0.496
16,12015620.0,0.507
17,13000000.0,0.512
18,14000000.0,0.517
19,14996090.0,0.52
20,21000000.0,0.519
21,22000000.0,0.515
22,23000000.0,0.51
23,24000000.0,0.505
24,26000000.0,0.5
25,27000000.0,0.501
26,28000000.0,0.494
27,29000000.0,0.492
28,30000000.0,0.494
29,32000000.0,0.491
30,34000000.0,0.493
31,36000000.0,0.491
32,42000000.0,0.489
33,44000000.0,0.49
34,46000000.0,0.491
35,48000000.0,0.487
36,52000000.0,0.491
37,54000000.0,0.489
38,56000000.0,0.487
39,58000000.0,0.485
40,60000000.0,0.483
