,x,y
0,1e-05,0.82
1,21500.0,0.819
2,70000.0,0.818
3,150000.0,0.816
4,215000.0,0.815
5,300000.0,0.813
6,465000.0,0.809
7,700000.0,0.804
8,1000000.0,0.797
9,1500000.0,0.785
10,2150000.0,0.77
11,3000000.0,0.75
12,4650000.0,0.711
13,7000000.0,0.656
14,10000000.0,0.586
15,12000000.0,0.539
16,13000000.0,0.515
17,14000000.0,0.492
18,15000000.0,0.48
19,20000000.0,0.634
20,21000000.0,0.633
21,23000000.0,0.634
22,25000000.0,0.635
23,26000000.0,0.637
24,28000000.0,0.638
25,29000000.0,0.641
26,30000000.0,0.642
27,32000000.0,0.647
28,34000000.0,0.648
29,36000000.0,0.655
30,38000000.0,0.657
31,40000000.0,0.663
32,42000000.0,0.667
33,44000000.0,0.67
34,46000000.0,0.677
35,48000000.0,0.679
36,50000000.0,0.681
37,52000000.0,0.686
38,54000000.0,0.691
39,56000000.0,0.692
40,58000000.0,0.693
41,60000000.0,0.696
