,x,y
0,1e-05,0.904
1,30000.0,0.903
2,100000.0,0.902
3,150000.0,0.901
4,215000.0,0.9
5,300000.0,0.898
6,465000.0,0.895
7,700000.0,0.89
8,1000000.0,0.884
9,1500000.0,0.875
10,2150000.0,0.862
11,3000000.0,0.845
12,4650000.0,0.813
13,7000000.0,0.767
14,10000000.0,0.708
15,12000000.0,0.669
16,13000000.0,0.649
17,14000000.0,0.63
18,15000000.0,0.62
19,21000000.0,0.619
20,22000000.0,0.623
21,25000000.0,0.627
22,26000000.0,0.621
23,27000000.0,0.622
24,28000000.0,0.624
25,29000000.0,0.618
26,30000000.0,0.619
27,34000000.0,0.613
28,36000000.0,0.617
29,38000000.0,0.608
30,40000000.0,0.612
31,42000000.0,0.613
32,44000000.0,0.608
33,46000000.0,0.609
34,48000000.0,0.608
35,50000000.0,0.616
36,52000000.0,0.612
37,54000000.0,0.606
38,56000000.0,0.608
39,58000000.0,0.615
40,60000000.0,0.619
