,x,y
0,1e-05,0.75
1,16875.0,0.749
2,45000.0,0.748
3,75000.0,0.747
4,105000.0,0.746
5,135000.0,0.745
6,160000.0,0.744
7,190000.0,0.743
8,220000.0,0.742
9,250000.0,0.741
10,280000.0,0.74
11,312500.0,0.739
12,337500.0,0.738
13,375000.0,0.737
14,400000.0,0.736
15,425000.0,0.735
16,450000.0,0.734
17,475000.0,0.733
18,500000.0,0.732
19,548816.0,0.731
20,575000.0,0.73
21,600000.0,0.729
22,625000.0,0.728
23,650000.0,0.727
24,675000.0,0.726
25,700000.0,0.725
26,745338.5,0.724
27,790677.0,0.722
28,832312.0,0.721
29,864624.0,0.72
30,900000.0,0.718
31,962013.0,0.716
32,1000000.0,0.715
33,1078170.0,0.712
34,1100000.0,0.711
35,1200000.0,0.708
36,1223390.0,0.707
37,1300000.0,0.704
38,1357800.0,0.702
39,1384360.0,0.701
40,1467060.0,0.698
41,1500000.0,0.697
42,1537690.0,0.696
43,1565160.0,0.695
44,1581760.0,0.694
45,1672510.0,0.691
46,1700000.0,0.69
47,1797860.0,0.687
48,1810940.0,0.686
49,1900000.0,0.683
50,2000000.0,0.68
51,2100000.0,0.676
52,2200000.0,0.673
53,2300000.0,0.669
54,2400000.0,0.666
55,2500000.0,0.662
56,2600000.0,0.659
57,2700000.0,0.655
58,2800000.0,0.652
59,3000000.0,0.645
60,3250000.0,0.636
61,3500000.0,0.627
62,3750000.0,0.618
63,4000000.0,0.609
64,4250000.0,0.601
65,4500000.0,0.592
66,4750000.0,0.583
67,5000000.0,0.574
68,5122410.0,0.57
69,5217690.0,0.567
70,5250000.0,0.565
71,5500000.0,0.557
72,5750000.0,0.548
73,6000000.0,0.539
74,6250000.0,0.53
75,6500000.0,0.521
76,6750000.0,0.513
77,6915500.0,0.507
78,7000000.0,0.504
79,7250000.0,0.495
80,7360500.0,0.491
81,7455780.0,0.488
82,7500000.0,0.486
83,7750000.0,0.477
84,8000000.0,0.469
85,8250000.0,0.46
86,8500000.0,0.451
87,8526890.0,0.45
88,8568740.0,0.449
89,8750000.0,0.442
90,9000000.0,0.433
91,9250000.0,0.425
92,9500000.0,0.416
93,9750000.0,0.407
94,10000000.0,0.398
95,10250000.0,0.39
96,10500000.0,0.381
97,10750000.0,0.372
98,11000000.0,0.363
99,11250000.0,0.354
100,11500000.0,0.346
101,11750000.0,0.337
102,12000000.0,0.328
103,12250000.0,0.319
104,12500000.0,0.31
105,12750000.0,0.302
106,13000000.0,0.293
107,13211600.0,0.285
108,13250000.0,0.284
109,13500000.0,0.275
110,13750000.0,0.266
111,14000000.0,0.258
112,14250000.0,0.249
113,14500000.0,0.24
114,21000000.0,0.239
115,23000000.0,0.237
116,25000000.0,0.236
117,27000000.0,0.238
118,28000000.0,0.236
119,29000000.0,0.237
120,30000000.0,0.238
121,32000000.0,0.237
122,34000000.0,0.24
123,36000000.0,0.238
124,38000000.0,0.24
125,40000000.0,0.243
126,42000000.0,0.244
127,44000000.0,0.247
128,46000000.0,0.25
129,50000000.0,0.251
130,52000000.0,0.254
131,54000000.0,0.259
132,56000000.0,0.257
133,58000000.0,0.256
134,60000000.0,0.258
