,x,y
0,1e-05,0.016
1,77282.0,0.017
2,236690.0,0.018
3,400000.0,0.019
4,549080.0,0.02
5,700000.0,0.021
6,848620.0,0.022
7,1023100.0,0.023
8,1173000.0,0.024
9,1321900.0,0.025
10,1471100.0,0.026
11,1621100.0,0.027
12,1790100.0,0.028
13,1960700.0,0.029
14,2091100.0,0.03
15,2250000.0,0.031
16,2403900.0,0.032
17,2559600.0,0.033
18,2712700.0,0.034
19,2870200.0,0.035
20,3029000.0,0.036
21,3181500.0,0.037
22,3338000.0,0.038
23,3500000.0,0.039
24,3650800.0,0.04
25,3807300.0,0.041
26,3935100.0,0.042
27,4116900.0,0.043
28,4295800.0,0.044
29,4418400.0,0.045
30,4607500.0,0.046
31,4736000.0,0.047
32,4866800.0,0.048
33,5056500.0,0.049
34,5175200.0,0.05
35,5356200.0,0.051
36,5482800.0,0.052
37,5670700.0,0.053
38,5800000.0,0.054
39,6000000.0,0.055
40,6119400.0,0.056
41,6270100.0,0.057
42,6418800.0,0.058
43,6610100.0,0.059
44,6738400.0,0.06
45,6868400.0,0.061
46,7055500.0,0.062
47,7174900.0,0.063
48,7361200.0,0.064
49,7484300.0,0.065
50,7739300.0,0.066
51,7868900.0,0.067
52,8000000.0,0.068
53,8240500.0,0.069
54,8485700.0,0.071
55,8612400.0,0.072
56,8740300.0,0.073
57,9000000.0,0.074
58,9241600.0,0.076
59,9487400.0,0.078
60,9741500.0,0.079
61,10000000.0,0.081
62,10489000.0,0.084
63,11000000.0,0.087
64,11120000.0,0.088
65,12000000.0,0.094
66,13000000.0,0.1
67,14000000.0,0.107
68,15000000.0,0.11
69,60000000.0,0.11
