,x,y
0,1e-05,0.344
1,9381.176,0.344
2,10973.54,0.344
3,60105.51,0.343
4,150279.4,0.342
5,200941.3,0.342
6,253107.7,0.341
7,355028.1,0.34
8,401585.1,0.339
9,505840.6,0.338
10,587916.4,0.337
11,719868.7,0.336
12,802575.5,0.335
13,901287.7,0.333
14,1000000.0,0.332
15,1500000.0,0.326
16,1600000.0,0.325
17,1800000.0,0.323
18,2000000.0,0.32
19,2500000.0,0.315
20,3000000.0,0.309
21,4000000.0,0.297
22,4300000.0,0.293
23,5000000.0,0.285
24,6000000.0,0.273
25,7000000.0,0.261
26,8000000.0,0.25
27,9000000.0,0.238
28,10000000.0,0.226
29,11000000.0,0.214
30,12000000.0,0.202
31,13000000.0,0.19
32,14000000.0,0.179
33,15000000.0,0.173
34,21000000.0,0.175
35,22000000.0,0.177
36,23000000.0,0.179
37,24000000.0,0.181
38,25000000.0,0.184
39,26000000.0,0.186
40,27000000.0,0.187
41,28000000.0,0.189
42,29000000.0,0.191
43,30000000.0,0.193
44,32000000.0,0.198
45,34000000.0,0.197
46,36000000.0,0.204
47,38000000.0,0.21
48,40000000.0,0.215
49,42000000.0,0.219
50,44000000.0,0.221
51,46000000.0,0.225
52,48000000.0,0.227
53,50000000.0,0.228
54,52000000.0,0.231
55,54000000.0,0.236
56,58000000.0,0.237
57,60000000.0,0.24
