,x,y
0,1e-05,0.984
1,80257.55,0.983
2,241374.8,0.982
3,403774.2,0.981
4,574616.6,0.98
5,703003.4,0.979
6,903475.2,0.978
7,1076030.0,0.977
8,1250000.0,0.976
9,1353792.0,0.975
10,1474794.0,0.974
11,1626868.0,0.973
12,1819007.0,0.972
13,2000000.0,0.971
14,2100649.0,0.97
15,2257261.0,0.969
16,2425316.0,0.968
17,2549257.0,0.967
18,2764361.0,0.966
19,2898235.0,0.965
20,3054428.0,0.964
21,3202933.0,0.963
22,3369043.0,0.962
23,3472401.0,0.961
24,3638368.0,0.96
25,3814019.0,0.959
26,3939252.0,0.958
27,4109559.0,0.957
28,4253908.0,0.956
29,4430476.0,0.955
30,4597152.0,0.954
31,4726400.0,0.953
32,4890429.0,0.952
33,5062477.0,0.951
34,5177964.0,0.95
35,5351864.0,0.949
36,5531362.0,0.948
37,5659471.0,0.947
38,5800931.0,0.946
39,5950427.0,0.945
40,6177085.0,0.944
41,6288108.0,0.943
42,6423751.0,0.942
43,6627696.0,0.941
44,6773528.0,0.94
45,6917294.0,0.939
46,7049668.0,0.938
47,7195241.0,0.937
48,7351484.0,0.936
49,7530314.0,0.935
50,7661485.0,0.934
51,7831558.0,0.933
52,7981801.0,0.932
53,8114920.0,0.931
54,8264147.0,0.93
55,8443466.0,0.929
56,8609669.0,0.928
57,8736600.0,0.927
58,8915811.0,0.926
59,9084167.0,0.925
60,9243480.0,0.924
61,9390743.0,0.923
62,9549838.0,0.922
63,9714730.0,0.921
64,9862005.0,0.92
65,9962394.0,0.919
66,10137660.0,0.918
67,10330620.0,0.917
68,10517410.0,0.916
69,10576550.0,0.915
70,10789510.0,0.914
71,10977280.0,0.913
72,11059980.0,0.912
73,11219940.0,0.911
74,11353470.0,0.91
75,11501810.0,0.909
76,11724820.0,0.908
77,11866530.0,0.907
78,12060180.0,0.906
79,12143550.0,0.905
80,12290100.0,0.904
81,12433200.0,0.903
82,12592410.0,0.902
83,12793590.0,0.901
84,12955490.0,0.9
85,13114960.0,0.899
86,13196910.0,0.898
87,13351360.0,0.897
88,13516030.0,0.896
89,13687610.0,0.895
90,13840210.0,0.894
91,14007660.0,0.893
92,14177450.0,0.892
93,14274600.0,0.891
94,14441410.0,0.89
95,60000000.0,0.89
