,x,y
0,1e-05,0.949
1,151.93,0.996
2,1000.0,0.933
3,5000.0,0.931
4,10000.0,0.928
5,20000.0,0.923
6,50000.0,0.913
7,100000.0,0.903
8,200000.0,0.89
9,300000.0,0.885
10,400000.0,0.878
11,500000.0,0.864
12,600000.0,0.847
13,700000.0,0.834
14,800000.0,0.827
15,900000.0,0.82
16,1000000.0,0.814
17,1200000.0,0.802
18,1400000.0,0.79
19,1600000.0,0.779
20,1800000.0,0.769
21,2000000.0,0.759
22,2200000.0,0.748
23,2400000.0,0.738
24,2600000.0,0.729
25,2800000.0,0.72
26,3000000.0,0.712
27,3200000.0,0.704
28,3400000.0,0.697
29,3600000.0,0.691
30,3800000.0,0.684
31,4000000.0,0.679
32,4200000.0,0.672
33,4400000.0,0.667
34,4600000.0,0.661
35,4800000.0,0.655
36,5000000.0,0.65
37,5200000.0,0.645
38,5400000.0,0.64
39,5600000.0,0.637
40,5800000.0,0.632
41,6000000.0,0.63
42,6200000.0,0.625
43,6600000.0,0.623
44,6800000.0,0.625
45,7000000.0,0.624
46,7200000.0,0.629
47,7400000.0,0.634
48,7600000.0,0.638
49,7800000.0,0.647
50,8000000.0,0.651
51,8500000.0,0.665
52,9000000.0,0.673
53,9500000.0,0.674
54,10000000.0,0.67
55,10500000.0,0.663
56,11000000.0,0.655
57,11500000.0,0.645
58,12000000.0,0.635
59,12500000.0,0.623
60,13000000.0,0.613
61,13500000.0,0.6
62,14000000.0,0.59
63,14500000.0,0.578
64,15000000.0,0.571
65,16000000.0,0.563
66,17000000.0,0.559
67,19000000.0,0.555
68,20000000.0,0.554
69,21000000.0,0.551
70,22000000.0,0.55
71,23000000.0,0.546
72,24000000.0,0.545
73,25000000.0,0.54
74,26000000.0,0.537
75,27000000.0,0.535
76,28000000.0,0.525
77,29000000.0,0.526
78,32000000.0,0.52
79,34000000.0,0.519
80,36000000.0,0.502
81,38000000.0,0.5
82,40000000.0,0.498
83,42000000.0,0.49
84,46000000.0,0.494
85,48000000.0,0.485
86,50000000.0,0.48
87,52000000.0,0.485
88,54000000.0,0.493
89,56000000.0,0.484
90,58000000.0,0.474
91,60000000.0,0.474
