,x,y
0,1e-05,0.062
1,10000.0,0.066
2,20000.0,0.088
3,50000.0,0.113
4,100000.0,0.131
5,200000.0,0.149
6,300000.0,0.159
7,400000.0,0.164
8,500000.0,0.166
9,600000.0,0.167
10,700000.0,0.186
11,800000.0,0.193
12,900000.0,0.199
13,1000000.0,0.205
14,1200000.0,0.193
15,1400000.0,0.17
16,1600000.0,0.157
17,2000000.0,0.159
18,2200000.0,0.164
19,2400000.0,0.168
20,2600000.0,0.172
21,2800000.0,0.176
22,3000000.0,0.177
23,3200000.0,0.178
24,3400000.0,0.177
25,3600000.0,0.178
26,4200000.0,0.18
27,4400000.0,0.178
28,4600000.0,0.173
29,4800000.0,0.168
30,5000000.0,0.167
31,5200000.0,0.165
32,5400000.0,0.161
33,5600000.0,0.157
34,5800000.0,0.154
35,6000000.0,0.15
36,6200000.0,0.153
37,6400000.0,0.15
38,6600000.0,0.144
39,6800000.0,0.14
40,7000000.0,0.133
41,7200000.0,0.129
42,7400000.0,0.124
43,7600000.0,0.115
44,7800000.0,0.113
45,8000000.0,0.102
46,8500000.0,0.081
47,9000000.0,0.064
48,9500000.0,0.052
49,10000000.0,0.044
50,10500000.0,0.039
51,11000000.0,0.036
52,11500000.0,0.037
53,12000000.0,0.034
54,12500000.0,0.031
55,13000000.0,0.03
56,13500000.0,0.031
57,14000000.0,0.033
58,14500000.0,0.036
59,15000000.0,0.038
60,16000000.0,0.041
61,18000000.0,0.039
62,19000000.0,0.037
63,20000000.0,0.036
64,22000000.0,0.035
65,24000000.0,0.034
66,25000000.0,0.035
67,29000000.0,0.036
68,34000000.0,0.035
69,36000000.0,0.034
70,38000000.0,0.033
71,40000000.0,0.028
72,44000000.0,0.027
73,46000000.0,0.025
74,48000000.0,0.024
75,54000000.0,0.023
76,58000000.0,0.022
77,60000000.0,0.021
