,x,y
0,1e-05,0.5
1,30000.0,0.499
2,100000.0,0.498
3,150000.0,0.497
4,215000.0,0.496
5,300000.0,0.495
6,465000.0,0.492
7,700000.0,0.487
8,1000000.0,0.482
9,1500000.0,0.473
10,2150000.0,0.461
11,3000000.0,0.446
12,4650000.0,0.417
13,7000000.0,0.375
14,10000000.0,0.321
15,12000000.0,0.285
16,13000000.0,0.267
17,14000000.0,0.249
18,15000000.0,0.24
19,21000000.0,0.242
20,23000000.0,0.339
21,24000000.0,0.338
22,25000000.0,0.339
23,27000000.0,0.356
24,29000000.0,0.355
25,30000000.0,0.361
26,32000000.0,0.363
27,34000000.0,0.364
28,36000000.0,0.363
29,38000000.0,0.365
30,42000000.0,0.366
31,44000000.0,0.368
32,46000000.0,0.367
33,48000000.0,0.371
34,50000000.0,0.374
35,52000000.0,0.371
36,54000000.0,0.372
37,56000000.0,0.379
38,58000000.0,0.381
39,60000000.0,0.379
